Hz,V /sqrt(Hz)
10000,1.43E-07
10075,2.03E-07
10150,1.97E-07
10225,1.46E-07
10300,2.55E-07
10375,1.99E-07
10450,1.41E-07
10525,1.97E-07
10600,1.77E-07
10675,9.08E-08
10750,1.93E-07
10825,2.20E-07
10900,2.17E-07
10975,2.47E-07
11050,2.02E-07
11125,2.20E-07
11200,1.96E-07
11275,2.13E-07
11350,1.90E-07
11425,1.68E-07
11500,1.14E-07
11575,1.64E-07
11650,1.74E-07
11725,1.62E-07
11800,2.05E-07
11875,2.02E-07
11950,1.54E-07
12025,1.64E-07
12100,1.68E-07
12175,1.37E-07
12250,1.23E-07
12325,1.57E-07
12400,1.38E-07
12475,9.99E-08
12550,1.51E-07
12625,1.43E-07
12700,1.51E-07
12775,5.70E-08
12850,8.94E-08
12925,1.78E-07
13000,1.95E-07
13075,1.30E-07
13150,1.49E-07
13225,1.77E-07
13300,1.20E-07
13375,1.17E-07
13450,1.18E-07
13525,9.70E-08
13600,7.16E-08
13675,1.09E-07
13750,1.16E-07
13825,1.02E-07
13900,3.07E-07
13975,1.13E-07
14050,1.54E-07
14125,1.53E-07
14200,9.25E-08
14275,1.01E-07
14350,2.17E-07
14425,1.54E-07
14500,1.00E-07
14575,7.95E-08
14650,1.33E-07
14725,1.28E-07
14800,2.80E-07
14875,1.28E-07
14950,9.96E-08
15025,1.15E-07
15100,1.38E-07
15175,9.89E-08
15250,1.91E-07
15325,1.14E-07
15400,1.08E-07
15475,1.24E-07
15550,8.34E-08
15625,1.66E-07
15700,1.33E-07
15775,9.50E-08
15850,1.50E-07
15925,1.14E-07
16000,1.14E-07
16075,1.13E-07
16150,1.16E-07
16225,9.48E-08
16300,1.28E-07
16375,1.57E-07
16450,1.01E-07
16525,1.28E-07
16600,1.58E-07
16675,1.52E-07
16750,1.72E-07
16825,8.86E-08
16900,1.16E-07
16975,1.01E-07
17050,8.33E-08
17125,1.26E-07
17200,1.10E-07
17275,1.30E-07
17350,1.10E-07
17425,1.16E-07
17500,1.57E-07
17575,1.93E-07
17650,1.42E-07
17725,1.12E-07
17800,1.47E-07
17875,5.47E-07
17950,2.04E-07
18025,1.52E-07
18100,1.92E-07
18175,5.96E-07
18250,2.49E-07
18325,2.27E-07
18400,1.48E-07
18475,2.61E-07
18550,7.28E-08
18625,1.45E-07
18700,1.48E-07
18775,2.96E-07
18850,7.93E-08
18925,1.44E-07
19000,1.35E-07
19075,9.12E-08
19150,3.19E-07
19225,2.10E-07
19300,1.97E-07
19375,2.11E-07
19450,2.63E-07
19525,1.39E-07
19600,1.65E-07
19675,1.48E-07
19750,1.20E-07
19825,1.83E-07
19900,1.19E-07
19975,1.46E-07
20050,8.83E-08
20125,2.05E-07
20200,1.44E-07
20275,8.63E-08
20350,1.04E-07
20425,1.83E-07
20500,1.80E-07
20575,1.49E-07
20650,1.35E-07
20725,1.02E-07
20800,1.14E-07
20875,1.27E-07
20950,1.76E-07
21025,9.71E-08
21100,1.37E-07
21175,7.45E-08
21250,1.71E-07
21325,1.58E-07
