Hz,Rfb reduced 1.2k,Rfb reduced 1.2k bis,all grounded,braid grounded 1 side,braid grounded 1 side bis,braid grounded 1 side ter,braid grounded 1 side ext. Power supply,Rfb back to 3k
10000,3.64E-07,4.07E-07,1.42E-07,8.91E-08,2.24E-07,8.23E-08,1.69E-06,9.81E-08
10075,3.79E-07,2.41E-07,1.57E-07,1.04E-07,1.77E-07,1.10E-07,1.61E-06,1.23E-07
10150,3.71E-07,4.60E-07,1.57E-07,1.11E-07,1.91E-07,9.68E-08,1.72E-06,1.35E-07
10225,3.39E-07,4.54E-07,1.03E-07,1.25E-07,9.81E-08,1.27E-07,1.57E-06,1.23E-07
10300,3.77E-07,3.61E-07,1.54E-07,1.04E-07,1.34E-07,7.58E-08,2.18E-06,1.18E-07
10375,4.27E-07,3.90E-07,1.12E-07,9.18E-08,1.17E-07,1.40E-07,1.55E-06,1.06E-07
10450,4.04E-07,2.89E-07,1.15E-07,2.20E-07,1.29E-07,1.11E-07,2.22E-06,1.04E-07
10525,4.33E-07,4.83E-07,1.46E-07,1.38E-07,1.46E-07,8.30E-08,1.79E-06,1.17E-07
10600,3.75E-07,3.47E-07,9.09E-08,1.34E-07,1.88E-07,1.35E-07,1.99E-06,1.20E-07
10675,3.10E-07,4.44E-07,1.22E-07,1.23E-07,1.34E-07,1.25E-07,1.99E-06,1.43E-07
10750,3.18E-07,3.25E-07,8.36E-08,1.23E-07,1.24E-07,1.22E-07,2.38E-06,1.34E-07
10825,4.43E-07,3.12E-07,1.30E-07,1.21E-07,1.13E-07,1.40E-07,1.37E-06,1.10E-07
10900,5.88E-07,6.16E-07,9.89E-08,1.18E-07,9.24E-08,9.47E-08,1.52E-06,1.17E-07
10975,3.55E-07,3.01E-07,1.02E-07,1.17E-07,1.05E-07,7.62E-08,2.13E-06,1.16E-07
11050,5.49E-07,4.65E-07,1.30E-07,1.07E-07,9.58E-08,1.64E-07,3.36E-06,7.39E-08
11125,3.45E-07,4.40E-07,1.39E-07,1.53E-07,1.12E-07,1.10E-07,2.77E-06,1.25E-07
11200,3.55E-07,4.26E-07,1.79E-07,1.23E-07,1.53E-07,1.81E-07,2.80E-06,9.25E-08
11275,3.80E-07,3.17E-07,1.22E-07,7.98E-08,1.36E-07,7.97E-08,1.94E-06,1.19E-07
11350,2.43E-07,2.93E-07,7.14E-08,1.33E-07,9.02E-08,8.46E-08,2.44E-06,1.30E-07
11425,3.97E-07,4.41E-07,9.73E-08,7.12E-08,1.64E-07,1.52E-07,1.81E-06,1.11E-07
11500,3.93E-07,4.74E-07,1.16E-07,1.98E-07,1.03E-07,7.55E-08,1.39E-06,1.51E-07
11575,3.66E-07,3.92E-07,1.68E-07,1.74E-07,1.13E-07,1.19E-07,2.21E-06,5.88E-08
11650,4.69E-07,3.38E-07,1.78E-07,1.64E-07,1.25E-07,9.50E-08,2.03E-06,8.92E-08
11725,3.14E-07,3.30E-07,1.79E-07,1.36E-07,1.50E-07,1.41E-07,1.57E-06,7.51E-08
11800,3.77E-07,3.51E-07,1.30E-07,6.98E-08,1.08E-07,1.23E-07,1.16E-06,1.13E-07
11875,3.89E-07,3.28E-07,7.80E-08,1.17E-07,1.62E-07,8.90E-08,1.54E-06,1.68E-07
11950,3.17E-07,3.25E-07,1.46E-07,1.68E-07,1.09E-07,1.14E-07,3.20E-06,1.32E-07
12025,5.03E-07,3.38E-07,1.41E-07,1.46E-07,1.66E-07,9.26E-08,4.56E-06,1.20E-07
12100,4.00E-07,4.21E-07,9.18E-08,9.76E-08,1.12E-07,1.46E-07,3.15E-06,1.31E-07
12175,3.69E-07,3.53E-07,1.30E-07,7.24E-08,8.62E-08,1.14E-07,1.21E-06,1.01E-07
12250,2.76E-07,2.76E-07,1.15E-07,1.13E-07,1.73E-07,1.37E-07,1.26E-06,1.04E-07
12325,1.94E-07,4.97E-07,1.57E-07,1.16E-07,1.63E-07,1.16E-07,1.20E-06,1.34E-07
12400,5.29E-07,2.89E-07,1.36E-07,1.45E-07,1.26E-07,9.87E-08,1.97E-06,1.05E-07
12475,3.80E-07,4.56E-07,1.30E-07,1.76E-07,1.43E-07,1.39E-07,1.72E-06,1.24E-07
12550,2.77E-07,3.98E-07,1.35E-07,1.13E-07,1.32E-07,9.58E-08,1.53E-06,1.17E-07
12625,3.05E-07,4.28E-07,1.24E-07,1.23E-07,1.33E-07,1.25E-07,1.57E-06,1.04E-07
12700,4.24E-07,3.46E-07,1.06E-07,1.33E-07,1.29E-07,9.89E-08,1.56E-06,9.89E-08
12775,3.92E-07,4.57E-07,1.48E-07,5.93E-08,1.07E-07,1.36E-07,1.96E-06,1.43E-07
12850,3.43E-07,2.56E-07,1.74E-07,1.25E-07,1.87E-07,1.14E-07,1.96E-06,1.33E-07
12925,3.04E-07,3.63E-07,1.26E-07,1.49E-07,1.17E-07,9.43E-08,1.51E-06,7.21E-08
13000,4.33E-07,4.23E-07,1.43E-07,1.40E-07,1.16E-07,1.18E-07,1.57E-06,9.97E-08
13075,4.28E-07,4.57E-07,9.34E-08,1.38E-07,1.17E-07,1.01E-07,1.88E-06,1.08E-07
13150,4.53E-07,3.75E-07,1.19E-07,1.49E-07,1.26E-07,1.13E-07,1.53E-06,1.04E-07
13225,3.42E-07,4.55E-07,1.36E-07,8.69E-08,1.63E-07,1.39E-07,2.03E-06,1.72E-07
13300,3.06E-07,3.60E-07,1.63E-07,1.43E-07,1.40E-07,1.13E-07,1.13E-06,1.32E-07
13375,4.33E-07,4.20E-07,1.39E-07,8.95E-08,1.13E-07,1.57E-07,1.86E-06,1.30E-07
13450,4.12E-07,4.49E-07,1.39E-07,1.25E-07,1.52E-07,1.28E-07,1.84E-06,1.45E-07
13525,4.42E-07,4.12E-07,1.24E-07,8.31E-08,1.08E-07,1.77E-07,1.33E-06,1.49E-07
13600,3.72E-07,4.65E-07,1.45E-07,1.23E-07,1.44E-07,1.03E-07,1.17E-06,1.24E-07
13675,3.81E-07,4.87E-07,1.27E-07,8.87E-08,1.09E-07,9.05E-08,1.53E-06,9.74E-08
13750,3.35E-07,3.31E-07,1.35E-07,9.25E-08,1.05E-07,9.41E-08,1.31E-06,1.06E-07
13825,2.74E-07,4.13E-07,1.64E-07,1.07E-07,1.20E-07,1.26E-07,1.25E-06,1.05E-07
13900,4.43E-07,3.09E-07,1.29E-07,1.46E-07,1.45E-07,1.17E-07,4.87E-06,1.08E-07
13975,4.05E-07,1.98E-07,1.23E-07,9.60E-08,1.13E-07,1.23E-07,1.90E-06,8.37E-08
14050,2.88E-07,4.87E-07,9.56E-08,1.38E-07,1.46E-07,9.96E-08,1.76E-06,1.19E-07
14125,2.89E-07,4.32E-07,9.26E-08,1.64E-07,8.08E-08,1.34E-07,1.86E-06,5.30E-08
14200,3.45E-07,2.38E-07,1.64E-07,1.22E-07,1.13E-07,1.55E-07,1.71E-06,1.46E-07
14275,3.62E-07,3.17E-07,1.39E-07,8.00E-08,1.57E-07,7.73E-08,1.95E-06,1.51E-07
14350,4.05E-07,5.13E-07,1.53E-07,1.55E-07,8.77E-08,1.15E-07,3.41E-06,7.10E-08
14425,3.69E-07,4.49E-07,9.62E-08,1.09E-07,1.49E-07,1.27E-07,1.29E-06,9.27E-08
14500,3.91E-07,3.40E-07,1.45E-07,9.78E-08,1.16E-07,1.30E-07,1.97E-06,1.04E-07
14575,2.81E-07,4.23E-07,1.34E-07,1.22E-07,1.19E-07,1.10E-07,1.35E-06,1.35E-07
14650,4.10E-07,4.22E-07,2.13E-07,8.89E-08,1.19E-07,1.49E-07,2.10E-06,7.21E-08
14725,4.92E-07,3.45E-07,1.23E-07,1.73E-07,1.49E-07,1.19E-07,1.11E-06,1.06E-07
14800,5.20E-07,3.25E-07,1.09E-07,1.34E-07,1.64E-07,1.00E-07,6.58E-06,1.45E-07
14875,3.51E-07,4.20E-07,1.01E-07,1.09E-07,1.22E-07,1.28E-07,1.14E-06,1.03E-07
14950,4.85E-07,2.51E-07,1.20E-07,8.08E-08,1.25E-07,1.52E-07,2.48E-06,1.38E-07
15025,4.93E-07,4.68E-07,8.09E-08,1.62E-07,8.16E-08,6.73E-08,1.42E-06,1.78E-07
15100,3.30E-07,3.73E-07,1.33E-07,1.43E-07,1.05E-07,1.15E-07,1.13E-06,1.49E-07
15175,3.94E-07,4.69E-07,1.16E-07,1.12E-07,1.22E-07,7.16E-08,1.69E-06,1.28E-07
15250,3.90E-07,3.16E-07,1.01E-07,1.20E-07,1.17E-07,1.38E-07,2.69E-06,9.74E-08
15325,4.66E-07,2.31E-07,1.17E-07,1.20E-07,1.13E-07,1.28E-07,1.41E-06,1.18E-07
15400,4.97E-07,3.87E-07,1.81E-07,1.11E-07,1.97E-07,9.09E-08,1.97E-06,1.65E-07
15475,4.00E-07,2.97E-07,1.18E-07,1.08E-07,1.29E-07,1.12E-07,7.91E-07,1.11E-07
15550,4.60E-07,1.80E-07,1.42E-07,1.21E-07,7.02E-08,1.89E-07,2.06E-06,1.29E-07
15625,3.56E-07,4.45E-07,1.28E-07,8.84E-08,1.09E-07,1.04E-07,1.61E-06,1.19E-07
15700,4.36E-07,3.29E-07,1.03E-07,8.69E-08,1.52E-07,1.40E-07,2.09E-06,8.82E-08
15775,3.40E-07,4.45E-07,9.37E-08,1.27E-07,1.50E-07,1.24E-07,1.01E-06,8.55E-08
15850,4.24E-07,5.37E-07,1.29E-07,1.42E-07,1.19E-07,8.86E-08,2.11E-06,1.14E-07
15925,2.50E-07,3.31E-07,1.47E-07,1.61E-07,1.39E-07,1.38E-07,2.31E-06,1.23E-07
16000,3.38E-07,4.17E-07,1.12E-07,7.92E-08,1.21E-07,7.94E-08,1.99E-06,7.14E-08
16075,3.25E-07,2.39E-07,1.49E-07,1.40E-07,8.23E-08,1.08E-07,1.41E-06,9.85E-08
16150,3.68E-07,2.74E-07,1.36E-07,1.55E-07,9.25E-08,1.12E-07,1.67E-06,1.36E-07
16225,2.94E-07,3.18E-07,1.19E-07,1.08E-07,7.29E-08,1.30E-07,1.27E-06,1.19E-07
16300,3.30E-07,4.42E-07,1.25E-07,1.40E-07,9.05E-08,1.58E-07,1.25E-06,1.57E-07
16375,4.41E-07,2.28E-07,1.68E-07,9.57E-08,9.46E-08,1.11E-07,1.49E-06,1.38E-07
16450,2.87E-07,1.98E-07,1.39E-07,1.73E-07,9.57E-08,8.26E-08,1.54E-06,1.08E-07
16525,3.94E-07,3.17E-07,1.27E-07,1.48E-07,9.78E-08,1.33E-07,1.62E-06,1.20E-07
16600,4.03E-07,5.02E-07,1.18E-07,1.18E-07,9.83E-08,1.22E-07,8.47E-07,1.04E-07
16675,4.74E-07,3.75E-07,7.86E-08,1.29E-07,1.58E-07,1.09E-07,1.22E-06,1.47E-07
16750,2.94E-07,4.84E-07,1.72E-07,7.30E-08,9.72E-08,1.54E-07,1.41E-06,1.69E-07
16825,3.70E-07,3.00E-07,1.03E-07,1.94E-07,1.18E-07,8.33E-08,1.46E-06,9.38E-08
16900,5.20E-07,5.72E-07,1.05E-07,9.03E-08,8.30E-08,1.34E-07,1.00E-06,9.38E-08
16975,3.87E-07,4.65E-07,1.42E-07,9.71E-08,9.16E-08,9.02E-08,1.91E-06,1.13E-07
17050,2.78E-07,5.04E-07,1.48E-07,1.29E-07,1.66E-07,1.44E-07,6.96E-07,1.50E-07
17125,3.18E-07,4.17E-07,9.71E-08,1.70E-07,1.06E-07,1.14E-07,1.74E-06,1.02E-07
17200,4.03E-07,3.19E-07,1.12E-07,1.05E-07,1.42E-07,1.51E-07,1.16E-06,1.04E-07
17275,4.12E-07,3.79E-07,1.27E-07,1.56E-07,8.25E-08,6.13E-08,9.81E-07,1.03E-07
17350,5.21E-07,4.48E-07,9.22E-08,1.48E-07,1.38E-07,9.06E-08,1.40E-06,1.38E-07
17425,3.50E-07,3.67E-07,1.05E-07,8.54E-08,8.49E-08,1.15E-07,1.79E-06,1.51E-07
17500,5.16E-07,4.18E-07,1.07E-07,1.33E-07,1.18E-07,1.14E-07,1.72E-06,1.11E-07
17575,3.52E-07,4.19E-07,1.02E-07,1.41E-07,1.10E-07,6.62E-08,6.58E-06,1.02E-07
17650,4.39E-07,1.88E-07,1.73E-07,1.46E-07,1.30E-07,8.58E-08,3.29E-06,1.21E-07
17725,4.44E-07,3.43E-07,8.95E-08,1.35E-07,1.26E-07,5.92E-08,2.57E-06,1.20E-07
17800,4.41E-07,3.63E-07,9.17E-08,1.47E-07,1.35E-07,1.12E-07,1.74E-06,9.62E-08
17875,5.80E-07,6.01E-07,1.53E-07,1.33E-07,1.80E-07,8.05E-08,3.19E-05,6.96E-08
17950,5.67E-07,3.86E-07,9.55E-08,6.20E-08,1.12E-07,7.77E-08,5.22E-06,1.36E-07
18025,2.92E-07,2.83E-07,9.66E-08,1.16E-07,1.12E-07,1.39E-07,8.05E-06,6.71E-08
18100,3.52E-07,3.79E-07,1.04E-07,1.56E-07,7.31E-08,1.34E-07,5.72E-06,1.65E-07
18175,4.91E-07,4.40E-07,9.93E-08,1.22E-07,1.59E-07,1.10E-07,3.26E-05,1.71E-07
18250,3.15E-07,3.26E-07,1.41E-07,1.06E-07,1.00E-07,1.07E-07,3.93E-06,1.31E-07
