f,loop
100000,-66.9213
162375,-66.5606
224750,-66.6548
287125,-66.6123
349500,-66.4878
411875,-66.3924
474250,-66.5287
536625,-66.4673
599000,-66.5104
661375,-66.558
723750,-66.4814
786125,-66.5098
848500,-66.6317
910875,-66.4954
973250,-66.6171
1.03562e+06,-66.528
1.098e+06,-66.5191
1.16038e+06,-66.6075
1.22275e+06,-66.5689
1.28512e+06,-66.6003
1.3475e+06,-66.5279
1.40988e+06,-66.5296
1.47225e+06,-66.6309
1.53462e+06,-66.656
1.597e+06,-66.6513
1.65938e+06,-66.6723
1.72175e+06,-66.5548
1.78412e+06,-66.6414
1.8465e+06,-66.6581
1.90888e+06,-66.647
1.97125e+06,-66.698
2.03362e+06,-66.6636
2.096e+06,-66.6121
2.15838e+06,-66.6546
2.22075e+06,-66.6995
2.28312e+06,-66.6329
2.3455e+06,-66.6605
2.40788e+06,-66.686
2.47025e+06,-66.7073
2.53262e+06,-66.7244
2.595e+06,-66.7263
2.65738e+06,-66.7564
2.71975e+06,-66.754
2.78212e+06,-66.7452
2.8445e+06,-66.771
2.90688e+06,-66.747
2.96925e+06,-66.8032
3.03162e+06,-66.8313
3.094e+06,-66.8224
3.15638e+06,-66.8091
3.21875e+06,-66.8417
3.28112e+06,-66.8262
3.3435e+06,-66.9049
3.40588e+06,-66.8018
3.46825e+06,-66.7973
3.53062e+06,-66.8276
3.593e+06,-66.8646
3.65538e+06,-66.882
3.71775e+06,-66.7922
3.78012e+06,-66.9036
3.8425e+06,-66.9211
3.90488e+06,-66.879
3.96725e+06,-66.8482
4.02962e+06,-66.894
4.092e+06,-66.938
4.15438e+06,-66.94
4.21675e+06,-66.9398
4.27912e+06,-66.9109
4.3415e+06,-66.9394
4.40388e+06,-66.988
4.46625e+06,-66.9435
4.52862e+06,-67.0434
4.591e+06,-66.9719
4.65338e+06,-67.014
4.71575e+06,-67.0541
4.77812e+06,-67.0539
4.8405e+06,-67.0604
4.90288e+06,-67.0311
4.96525e+06,-66.9552
5.02762e+06,-67.1093
5.09e+06,-67.0686
5.15238e+06,-67.0707
5.21475e+06,-67.1223
5.27712e+06,-67.1131
5.3395e+06,-67.0948
5.40188e+06,-67.1059
5.46425e+06,-67.099
5.52662e+06,-67.1758
5.589e+06,-67.1869
5.65138e+06,-67.1731
5.71375e+06,-67.2094
5.77612e+06,-67.1251
5.8385e+06,-67.1544
5.90088e+06,-67.2111
5.96325e+06,-67.1676
6.02562e+06,-67.229
6.088e+06,-67.2379
6.15038e+06,-67.2469
6.21275e+06,-67.2261
6.27512e+06,-67.2672
6.3375e+06,-67.2075
6.39988e+06,-67.2991
6.46225e+06,-67.182
6.52462e+06,-67.3751
6.587e+06,-67.2479
6.64938e+06,-67.3353
6.71175e+06,-67.3909
6.77412e+06,-67.3953
6.8365e+06,-67.3393
6.89888e+06,-67.3299
6.96125e+06,-67.2766
7.02362e+06,-67.3946
7.086e+06,-67.4201
7.14838e+06,-67.4504
7.21075e+06,-67.3754
7.27312e+06,-67.3752
7.3355e+06,-67.4217
7.39788e+06,-67.34
