f,gain
100000,-13.0115
162375,-11.2258
224750,-10.3133
287125,-9.68838
349500,-9.2673
411875,-8.98087
474250,-8.77417
536625,-8.60349
599000,-8.47746
661375,-8.37929
723750,-8.28669
786125,-8.18518
848500,-7.96319
910875,-7.73115
973250,-7.74395
1.03562e+06,-7.90943
1.098e+06,-7.97638
1.16038e+06,-7.99149
1.22275e+06,-7.98563
1.28512e+06,-7.97656
1.3475e+06,-7.96801
1.40988e+06,-7.9585
1.47225e+06,-7.94984
1.53462e+06,-7.93869
1.597e+06,-7.92993
1.65938e+06,-7.91917
1.72175e+06,-7.90865
1.78412e+06,-7.89776
1.8465e+06,-7.88855
1.90888e+06,-7.88627
1.97125e+06,-7.88662
2.03362e+06,-7.90182
2.096e+06,-7.94458
2.15838e+06,-8.01264
2.22075e+06,-8.08479
2.28312e+06,-8.13544
2.3455e+06,-8.15483
2.40788e+06,-8.15494
2.47025e+06,-8.15153
2.53262e+06,-8.14549
2.595e+06,-8.1405
2.65738e+06,-8.13711
2.71975e+06,-8.13297
2.78212e+06,-8.1303
2.8445e+06,-8.12749
2.90688e+06,-8.1236
2.96925e+06,-8.12139
3.03162e+06,-8.12426
3.094e+06,-8.1267
3.15638e+06,-8.12842
3.21875e+06,-8.13188
3.28112e+06,-8.13392
3.3435e+06,-8.13646
3.40588e+06,-8.13906
3.46825e+06,-8.1434
3.53062e+06,-8.14655
3.593e+06,-8.15095
3.65538e+06,-8.15562
3.71775e+06,-8.1618
3.78012e+06,-8.1666
3.8425e+06,-8.17127
3.90488e+06,-8.17741
3.96725e+06,-8.18228
4.02962e+06,-8.18825
4.092e+06,-8.19378
4.15438e+06,-8.20089
4.21675e+06,-8.20682
4.27912e+06,-8.21279
4.3415e+06,-8.21901
4.40388e+06,-8.22413
4.46625e+06,-8.23098
4.52862e+06,-8.2355
4.591e+06,-8.24217
4.65338e+06,-8.248
4.71575e+06,-8.25294
4.77812e+06,-8.25851
4.8405e+06,-8.26365
4.90288e+06,-8.26891
4.96525e+06,-8.27233
5.02762e+06,-8.27689
5.09e+06,-8.28126
5.15238e+06,-8.28507
5.21475e+06,-8.28897
5.27712e+06,-8.29221
5.3395e+06,-8.29538
5.40188e+06,-8.2991
5.46425e+06,-8.30263
5.52662e+06,-8.30486
5.589e+06,-8.30754
5.65138e+06,-8.31051
5.71375e+06,-8.31324
5.77612e+06,-8.31601
5.8385e+06,-8.31814
5.90088e+06,-8.31934
5.96325e+06,-8.32276
6.02562e+06,-8.32474
6.088e+06,-8.32686
6.15038e+06,-8.32893
6.21275e+06,-8.33093
6.27512e+06,-8.33291
6.3375e+06,-8.33472
6.39988e+06,-8.33709
6.46225e+06,-8.33837
6.52462e+06,-8.34024
6.587e+06,-8.34245
6.64938e+06,-8.34499
6.71175e+06,-8.34622
6.77412e+06,-8.34868
6.8365e+06,-8.3502
6.89888e+06,-8.35205
6.96125e+06,-8.3545
7.02362e+06,-8.35634
7.086e+06,-8.35769
7.14838e+06,-8.36003
7.21075e+06,-8.36196
7.27312e+06,-8.36398
7.3355e+06,-8.36631
7.39788e+06,-8.36865
7.46025e+06,-8.37029
7.52262e+06,-8.37176
