f,noise
100000,-66.0208
162375,-64.1505
224750,-73.9653
287125,-81.1004
349500,-84.3794
411875,-85.0922
474250,-83.9062
536625,-82.8929
599000,-81.0729
661375,-83.6967
723750,-82.0612
786125,-87.0093
848500,-83.4459
910875,-78.1657
973250,-77.182
1.03562e+06,-80.7434
1.098e+06,-85.5341
1.16038e+06,-85.9976
1.22275e+06,-86.6043
1.28512e+06,-68.1955
1.3475e+06,-85.2591
1.40988e+06,-74.1777
1.47225e+06,-83.2531
1.53462e+06,-81.9406
1.597e+06,-83.0935
1.65938e+06,-85.4963
1.72175e+06,-83.8034
1.78412e+06,-82.5582
1.8465e+06,-80.6394
1.90888e+06,-84.6702
1.97125e+06,-82.4103
2.03362e+06,-80.7181
2.096e+06,-79.9173
2.15838e+06,-82.5075
2.22075e+06,-83.9739
2.28312e+06,-83.8011
2.3455e+06,-86.6385
2.40788e+06,-82.2886
2.47025e+06,-80.8577
2.53262e+06,-83.1425
2.595e+06,-85.3554
2.65738e+06,-87.9109
2.71975e+06,-84.1485
2.78212e+06,-87.5523
2.8445e+06,-85.6667
2.90688e+06,-85.4229
2.96925e+06,-85.773
3.03162e+06,-85.7016
3.094e+06,-83.9423
3.15638e+06,-86.0632
3.21875e+06,-86.9576
3.28112e+06,-84.6345
3.3435e+06,-85.5252
3.40588e+06,-86.1367
3.46825e+06,-86.1738
3.53062e+06,-86.9567
3.593e+06,-86.2865
3.65538e+06,-86.3243
3.71775e+06,-87.7268
3.78012e+06,-85.9877
3.8425e+06,-85.5585
3.90488e+06,-87.8162
3.96725e+06,-85.7343
4.02962e+06,-84.9517
4.092e+06,-85.6984
4.15438e+06,-83.9391
4.21675e+06,-86.3992
4.27912e+06,-86.2089
4.3415e+06,-85.6622
4.40388e+06,-81.3531
4.46625e+06,-79.5709
4.52862e+06,-81.7712
4.591e+06,-78.3323
4.65338e+06,-75.9788
4.71575e+06,-78.0775
4.77812e+06,-75.3961
4.8405e+06,-74.1285
4.90288e+06,-73.6105
4.96525e+06,-79.7285
5.02762e+06,-75.4171
5.09e+06,-79.0096
5.15238e+06,-77.701
5.21475e+06,-78.5145
5.27712e+06,-80.6288
5.3395e+06,-80.9923
5.40188e+06,-84.6911
5.46425e+06,-83.1601
5.52662e+06,-83.2933
5.589e+06,-83.678
5.65138e+06,-82.7458
5.71375e+06,-84.2288
5.77612e+06,-86.1668
5.8385e+06,-84.4101
5.90088e+06,-82.6947
5.96325e+06,-83.7333
6.02562e+06,-85.3451
