f, gain
100000,-20.3308
162375,-20.0138
224750,-21.0699
287125,-21.4092
349500,-21.3864
411875,-21.291
474250,-21.2328
536625,-21.0975
599000,-21.085
661375,-21.057
723750,-21.0334
786125,-21.0142
848500,-20.952
910875,-20.9098
973250,-20.9017
1.03562e+06,-20.8525
1.098e+06,-20.8825
1.16038e+06,-20.8725
1.22275e+06,-20.913
1.28512e+06,-20.768
1.3475e+06,-20.8667
1.40988e+06,-20.8518
1.47225e+06,-20.8309
1.53462e+06,-20.7992
1.597e+06,-20.7749
1.65938e+06,-20.6998
1.72175e+06,-20.7484
1.78412e+06,-20.7589
1.8465e+06,-20.743
1.90888e+06,-20.8202
1.97125e+06,-21.0079
2.03362e+06,-21.2834
2.096e+06,-21.6447
2.15838e+06,-22.1954
2.22075e+06,-22.5267
2.28312e+06,-22.6173
2.3455e+06,-22.4369
2.40788e+06,-22.4213
2.47025e+06,-22.2186
2.53262e+06,-22.2233
2.595e+06,-22.1508
2.65738e+06,-22.1526
2.71975e+06,-22.0794
2.78212e+06,-22.0651
2.8445e+06,-22.012
2.90688e+06,-22.0395
2.96925e+06,-22.0447
3.03162e+06,-22.0862
3.094e+06,-22.0309
3.15638e+06,-22.0146
3.21875e+06,-22.0762
3.28112e+06,-22.0015
3.3435e+06,-22.0575
3.40588e+06,-22.1117
3.46825e+06,-22.0981
3.53062e+06,-22.1525
3.593e+06,-22.1946
3.65538e+06,-22.1872
3.71775e+06,-22.2358
3.78012e+06,-22.2277
3.8425e+06,-22.2623
3.90488e+06,-22.3078
3.96725e+06,-22.3334
4.02962e+06,-22.305
4.092e+06,-22.376
4.15438e+06,-22.3728
4.21675e+06,-22.4051
4.27912e+06,-22.4441
4.3415e+06,-22.435
4.40388e+06,-22.4873
4.46625e+06,-22.4774
4.52862e+06,-22.4625
4.591e+06,-22.5962
4.65338e+06,-22.5412
4.71575e+06,-22.6208
4.77812e+06,-22.6818
4.8405e+06,-22.6508
4.90288e+06,-22.7353
4.96525e+06,-22.6898
5.02762e+06,-22.7868
5.09e+06,-22.7835
5.15238e+06,-22.8525
5.21475e+06,-22.8331
5.27712e+06,-22.8251
5.3395e+06,-22.9376
5.40188e+06,-22.8673
5.46425e+06,-23.0098
5.52662e+06,-22.9444
5.589e+06,-22.9117
5.65138e+06,-23.0307
5.71375e+06,-23.0734
5.77612e+06,-23.1006
5.8385e+06,-23.0517
5.90088e+06,-23.1118
5.96325e+06,-23.1399
6.02562e+06,-23.2246
6.088e+06,-23.2115
6.15038e+06,-23.2857
6.21275e+06,-23.2557
6.27512e+06,-23.2409
6.3375e+06,-23.3671
6.39988e+06,-23.4148
6.46225e+06,-23.4186
6.52462e+06,-23.4806
6.587e+06,-23.4745
6.64938e+06,-23.4103
6.71175e+06,-23.5143
6.77412e+06,-23.5379
6.8365e+06,-23.6216
6.89888e+06,-23.6063
6.96125e+06,-23.6018
7.02362e+06,-23.6576
7.086e+06,-23.5787
7.14838e+06,-23.6578
7.21075e+06,-23.6751
7.27312e+06,-23.7153
7.3355e+06,-23.7412
7.39788e+06,-23.7962
7.46025e+06,-23.8044
7.52262e+06,-23.753
7.585e+06,-23.8681
7.64738e+06,-23.9057
7.70975e+06,-23.9063
7.77212e+06,-23.9885
7.8345e+06,-24.0284
7.89688e+06,-23.9487
7.95925e+06,-24.0348
8.02162e+06,-24.0459
8.084e+06,-24.0166
8.14638e+06,-24.1647
8.20875e+06,-24.1849
8.27112e+06,-24.1285
8.3335e+06,-24.1406
8.39588e+06,-24.2449
8.45825e+06,-24.1854
8.52062e+06,-24.194
8.583e+06,-24.2439
8.64538e+06,-24.2959
8.70775e+06,-24.3746
8.77012e+06,-24.4504
8.8325e+06,-24.4833
8.89488e+06,-24.4941
8.95725e+06,-24.4938
9.01962e+06,-24.538
9.082e+06,-24.5099
9.14438e+06,-24.6065
9.20675e+06,-24.624
9.26912e+06,-24.6482
9.3315e+06,-24.6828
9.39388e+06,-24.656
9.45625e+06,-24.7506
9.51862e+06,-24.7493
9.581e+06,-24.8006
9.64338e+06,-24.8542
9.70575e+06,-24.8259
9.76812e+06,-24.9282
9.8305e+06,-24.9172
9.89288e+06,-24.8907
9.95525e+06,-24.9614
1.00176e+07,-24.9939
1.008e+07,-25.0187
1.01424e+07,-24.9348
1.02048e+07,-25.0726
1.02671e+07,-25.0739
1.03295e+07,-25.0544
1.03919e+07,-25.1292
1.04542e+07,-25.1525
1.05166e+07,-25.1129
1.0579e+07,-25.2731
1.06414e+07,-25.1946
1.07038e+07,-25.2718
1.07661e+07,-25.321
1.08285e+07,-25.3531
1.08909e+07,-25.3024
1.09532e+07,-25.4063
1.10156e+07,-25.4377
1.1078e+07,-25.4568
1.11404e+07,-25.4915
1.12028e+07,-25.5778
1.12651e+07,-25.531
1.13275e+07,-25.545
1.13899e+07,-25.5865
1.14522e+07,-25.5985
1.15146e+07,-25.6637
1.1577e+07,-25.7025
1.16394e+07,-25.62
1.17018e+07,-25.7971
1.17641e+07,-25.7307
1.18265e+07,-25.7559
1.18889e+07,-25.8605
1.19512e+07,-25.837
1.20136e+07,-25.9025
1.2076e+07,-27.1602
1.21384e+07,-27.1821
1.22008e+07,-27.2894
1.22631e+07,-27.2793
1.23255e+07,-27.2558
1.23879e+07,-27.2646
1.24502e+07,-27.3845
1.25126e+07,-27.3655
1.2575e+07,-27.3662
1.26374e+07,-27.5097
1.26998e+07,-27.4587
1.27621e+07,-27.548
1.28245e+07,-27.555
1.28869e+07,-27.5718
1.29492e+07,-27.5704
1.30116e+07,-27.6293
1.3074e+07,-27.7047
1.31364e+07,-27.5379
1.31988e+07,-27.7347
1.32611e+07,-27.7947
1.33235e+07,-27.8062
1.33859e+07,-27.772
1.34482e+07,-27.8294
1.35106e+07,-27.833
1.3573e+07,-27.9191
1.36354e+07,-27.9454
1.36978e+07,-27.9207
1.37601e+07,-27.9398
1.38225e+07,-27.8493
