f, gain
100000,-15.257
162375,-14.6924
224750,-16.0007
287125,-16.3723
349500,-16.1437
411875,-16.1771
474250,-16.0988
536625,-15.9931
599000,-15.9384
661375,-15.8459
723750,-15.8066
786125,-15.7857
848500,-15.7528
910875,-15.6405
973250,-15.6034
1.03562e+06,-15.558
1.098e+06,-15.6398
1.16038e+06,-15.6431
1.22275e+06,-15.6275
1.28512e+06,-15.5865
1.3475e+06,-15.6047
1.40988e+06,-15.5921
1.47225e+06,-15.5423
1.53462e+06,-15.5233
1.597e+06,-15.4573
1.65938e+06,-15.4076
1.72175e+06,-15.418
1.78412e+06,-15.3515
1.8465e+06,-15.3386
1.90888e+06,-15.3319
1.97125e+06,-15.3763
2.03362e+06,-15.5566
2.096e+06,-15.8699
2.15838e+06,-16.2287
2.22075e+06,-16.5848
2.28312e+06,-16.7145
2.3455e+06,-16.677
2.40788e+06,-16.6251
2.47025e+06,-16.5798
2.53262e+06,-16.5101
2.595e+06,-16.4632
2.65738e+06,-16.4593
2.71975e+06,-16.4075
2.78212e+06,-16.3529
2.8445e+06,-16.3594
2.90688e+06,-16.2703
2.96925e+06,-16.2343
3.03162e+06,-16.2811
3.094e+06,-16.2265
3.15638e+06,-16.2276
3.21875e+06,-16.2266
3.28112e+06,-16.2089
3.3435e+06,-16.2274
3.40588e+06,-16.2346
3.46825e+06,-16.2261
3.53062e+06,-16.1945
3.593e+06,-16.162
3.65538e+06,-16.195
3.71775e+06,-16.1957
3.78012e+06,-16.1809
3.8425e+06,-16.1901
3.90488e+06,-16.2054
3.96725e+06,-16.1927
4.02962e+06,-16.1963
4.092e+06,-16.1914
4.15438e+06,-16.1684
4.21675e+06,-16.1918
4.27912e+06,-16.1653
4.3415e+06,-16.1759
4.40388e+06,-16.2015
4.46625e+06,-16.2105
4.52862e+06,-16.1885
4.591e+06,-16.1673
4.65338e+06,-16.1843
4.71575e+06,-16.1808
4.77812e+06,-16.1947
4.8405e+06,-16.1919
4.90288e+06,-16.2062
4.96525e+06,-16.1824
5.02762e+06,-16.2219
5.09e+06,-16.2191
5.15238e+06,-16.1857
5.21475e+06,-16.1876
5.27712e+06,-16.216
5.3395e+06,-16.2207
5.40188e+06,-16.1976
5.46425e+06,-16.2016
5.52662e+06,-16.1807
5.589e+06,-16.2084
5.65138e+06,-16.2085
5.71375e+06,-16.1815
5.77612e+06,-16.2054
5.8385e+06,-16.2044
5.90088e+06,-16.2112
5.96325e+06,-16.2422
6.02562e+06,-16.2301
6.088e+06,-16.232
6.15038e+06,-16.231
6.21275e+06,-16.2153
6.27512e+06,-16.2139
6.3375e+06,-16.2372
6.39988e+06,-16.2151
6.46225e+06,-16.2365
6.52462e+06,-16.2223
6.587e+06,-16.2502
6.64938e+06,-16.2517
6.71175e+06,-16.2093
6.77412e+06,-16.2214
6.8365e+06,-16.2222
6.89888e+06,-16.2501
6.96125e+06,-16.2355
7.02362e+06,-16.2366
7.086e+06,-16.2292
7.14838e+06,-16.2367
7.21075e+06,-16.2207
7.27312e+06,-16.2222
7.3355e+06,-16.2311
7.39788e+06,-16.1874
7.46025e+06,-16.2376
7.52262e+06,-16.2156
7.585e+06,-16.2299
7.64738e+06,-16.2174
7.70975e+06,-16.2218
7.77212e+06,-16.235
7.8345e+06,-16.1905
7.89688e+06,-16.2351
7.95925e+06,-16.2252
8.02162e+06,-16.2277
8.084e+06,-16.2103
8.14638e+06,-16.216
8.20875e+06,-16.1894
8.27112e+06,-16.2122
8.3335e+06,-16.1952
8.39588e+06,-16.2316
8.45825e+06,-16.1874
8.52062e+06,-16.2142
8.583e+06,-16.2167
8.64538e+06,-16.2143
8.70775e+06,-16.188
8.77012e+06,-16.1887
8.8325e+06,-16.2051
8.89488e+06,-16.2027
8.95725e+06,-16.2038
9.01962e+06,-16.2131
9.082e+06,-16.2085
9.14438e+06,-16.2043
9.20675e+06,-16.1819
9.26912e+06,-16.1901
9.3315e+06,-16.2173
9.39388e+06,-16.2177
9.45625e+06,-16.2252
9.51862e+06,-16.1878
9.581e+06,-16.1659
9.64338e+06,-16.1908
9.70575e+06,-16.1876
9.76812e+06,-16.1973
9.8305e+06,-16.1884
9.89288e+06,-16.1689
9.95525e+06,-16.2095
1.00176e+07,-16.1896
1.008e+07,-16.1897
1.01424e+07,-16.1955
1.02048e+07,-16.1895
1.02671e+07,-16.1733
1.03295e+07,-16.1883
1.03919e+07,-16.1642
1.04542e+07,-16.1487
1.05166e+07,-16.1555
1.0579e+07,-16.1699
1.06414e+07,-16.1344
1.07038e+07,-16.1328
1.07661e+07,-16.1336
1.08285e+07,-16.1106
1.08909e+07,-16.1299
1.09532e+07,-16.13
1.10156e+07,-16.1272
1.1078e+07,-16.1181
1.11404e+07,-16.1228
1.12028e+07,-16.1332
1.12651e+07,-16.0978
1.13275e+07,-16.1146
1.13899e+07,-16.086
1.14522e+07,-16.0999
1.15146e+07,-16.0668
1.1577e+07,-16.0644
1.16394e+07,-16.0733
1.17018e+07,-16.0681
1.17641e+07,-16.0551
1.18265e+07,-16.0478
1.18889e+07,-16.0458
1.19512e+07,-16.0329
1.20136e+07,-16.0177
1.2076e+07,-17.2948
1.21384e+07,-17.2561
1.22008e+07,-17.2981
1.22631e+07,-17.2623
1.23255e+07,-17.2825
1.23879e+07,-17.2498
1.24502e+07,-17.2438
1.25126e+07,-17.2574
1.2575e+07,-17.2447
1.26374e+07,-17.2352
1.26998e+07,-17.2524
1.27621e+07,-17.2415
1.28245e+07,-17.2636
1.28869e+07,-17.1904
1.29492e+07,-17.2197
1.30116e+07,-17.2458
1.3074e+07,-17.2431
1.31364e+07,-17.2119
1.31988e+07,-17.2246
1.32611e+07,-17.2486
1.33235e+07,-17.1855
1.33859e+07,-17.1744
1.34482e+07,-17.1727
1.35106e+07,-17.2342
1.3573e+07,-17.2593
1.36354e+07,-17.2077
1.36978e+07,-17.2224
1.37601e+07,-17.1441
1.38225e+07,-17.1485
1.38849e+07,-17.1458
1.39472e+07,-17.179
1.40096e+07,-17.1624
1.4072e+07,-17.1451
1.41344e+07,-17.093
1.41968e+07,-17.1508
1.42591e+07,-17.0946
1.43215e+07,-17.1214
1.43839e+07,-17.1288
1.44462e+07,-17.1202
1.45086e+07,-17.1024
1.4571e+07,-17.0796
