Hz,dB,deg
10000,29.77374,-60.95299
10530.428,30.27897,-62.70471
11060.856,30.74818,-64.08611
11591.284,31.23193,-65.50848
12121.711,31.6528,-66.70969
12652.139,32.07658,-67.97511
13182.567,32.45622,-69.00552
13803.843,32.88844,-70.03773
14518.676,33.32455,-71.20902
15233.509,33.80121,-72.60041
15948.342,34.20727,-73.47072
16663.175,34.63385,-74.57055
17378.008,35.03162,-75.59689
18197.009,35.4235,-76.49763
19139.343,35.9053,-77.50439
20081.676,36.34231,-78.46374
21024.01,36.76283,-79.40972
21966.343,37.15773,-80.33173
22908.677,37.51053,-81.05612
23988.329,37.93732,-81.85132
25260.737,38.37853,-82.94869
26533.145,38.82077,-83.91786
27805.553,39.24323,-84.80654
29077.961,39.63674,-85.45063
30350.369,40.02153,-86.10455
31622.777,40.36447,-86.95432
33113.112,40.75357,-87.74419
34827.877,41.20835,-88.58612
36542.642,41.63462,-89.44072
38257.408,42.02,-90.20619
39972.173,42.40247,-91.0066
41686.938,42.75099,-91.63193
43651.583,43.15651,-92.62181
45912.084,43.59133,-93.27902
48172.585,43.98906,-94.1871
50433.085,44.37634,-95.02675
52693.586,44.75447,-95.8873
54954.087,45.10828,-96.46037
57543.994,45.49955,-97.25546
60523.914,45.9024,-98.25136
63503.835,46.30994,-99.17358
66483.755,46.67298,-100.0597
69463.676,47.03734,-100.8733
72443.596,47.38898,-101.8432
75857.758,47.77302,-102.4809
79881.465,48.16085,-103.611
83905.172,48.55643,-104.6042
87928.879,48.93312,-105.6578
91952.586,49.27547,-106.6415
95976.293,49.60615,-107.593
100000,49.91501,-108.4778
104712.855,50.28036,-109.7017
110135.419,50.64964,-110.7666
115557.983,50.98916,-111.9673
120980.546,51.33303,-113.1469
126403.11,51.63751,-114.331
131825.674,51.94538,-115.3285
138038.426,52.25931,-116.5856
145186.757,52.61114,-118.0009
152335.089,52.92899,-119.3411
159483.42,53.22532,-120.6133
166631.752,53.51062,-122.0232
173780.083,53.76675,-123.2747
181970.086,54.02085,-124.4773
191393.422,54.32536,-126.2707
200816.758,54.56327,-127.9509
210240.093,54.77701,-129.539
219663.429,54.97148,-130.7001
229086.765,55.13226,-132.3295
239883.292,55.29538,-133.3788
252607.371,55.47824,-134.7372
265331.45,55.66685,-136.0749
278055.529,55.8317,-137.4059
290779.608,55.98188,-138.5105
303503.687,56.13067,-139.4653
316227.766,56.28446,-140.5353
331131.121,56.4171,-141.5632
348278.773,56.5805,-142.7982
365426.426,56.70234,-143.9398
382574.078,56.82853,-145.1191
399721.731,56.9273,-145.9414
416869.383,57.0434,-146.9049
436515.832,57.14609,-147.9515
459120.84,57.26129,-149.1428
481725.849,57.34437,-150.0258
504330.857,57.46304,-150.9216
526935.866,57.54021,-151.7501
549540.874,57.60626,-152.6063
575439.937,57.67835,-153.2542
605239.142,57.76823,-154.1059
635038.346,57.85047,-154.9965
664837.551,57.88751,-155.6709
694636.755,57.958,-156.3971
724435.96,58.0065,-156.8931
758577.575,58.07627,-157.3774
798814.646,58.12232,-157.8763
839051.717,58.19757,-158.1758
879288.788,58.30973,-158.42
919525.858,58.48087,-158.7541
959762.929,58.72107,-160.242
1000000,58.69781,-162.2586
1047128.548,58.58257,-163.0874
1101354.186,58.52816,-163.3613
1155579.824,58.50933,-163.711
1209805.463,58.51089,-163.8952
1264031.101,58.51036,-164.052
1318256.739,58.52226,-164.3682
1380384.265,58.50963,-164.4957
1451867.578,58.49345,-164.6994
1523350.891,58.50608,-164.9748
1594834.203,58.50426,-165.1543
1666317.516,58.51918,-165.3701
1737800.829,58.52174,-165.6132
1819700.859,58.55955,-165.8591
1913934.218,58.56338,-166.2209
2008167.577,58.54897,-166.7863
2102400.935,58.48284,-167.3459
2196634.294,58.38094,-167.3042
2290867.653,58.30987,-166.8897
2398832.919,58.30811,-166.3461
2526073.709,58.33674,-165.8184
2653314.499,58.34728,-165.6407
2780555.289,58.38089,-165.3544
2907796.08,58.38092,-165.0296
3035036.87,58.42031,-164.9282
3162277.66,58.39855,-164.6549
3311311.215,58.42483,-164.4961
3482787.739,58.40836,-164.2589
3654264.263,58.43991,-163.8905
3825740.787,58.44657,-163.4341
3997217.311,58.43777,-163.1553
4168693.835,58.43727,-162.5948
4365158.322,58.42103,-162.2413
4591208.405,58.41608,-161.5029
4817258.489,58.38709,-160.8587
5043308.572,58.41297,-159.9989
5269358.656,58.42575,-159.2036
5495408.739,58.40759,-158.3383
5754399.373,58.41187,-157.3989
6052391.419,58.42364,-156.1052
6350383.464,58.44491,-155.1046
6648375.51,58.48673,-153.8709
6946367.555,58.56805,-152.5093
7244359.601,58.6836,-152.0539
7585775.75,58.66252,-151.2941
7988146.458,58.6785,-150.0485
8390517.167,58.74223,-148.763
8792887.875,58.76896,-147.4956
9195258.583,58.81228,-146.5006
9597629.292,58.90526,-145.5608
10000000,58.97442,-144.5455
10471285.481,59.02942,-143.676
11013541.862,59.13026,-142.7279
11555798.243,59.33079,-143.062
12098054.624,58.95423,-141.2691
12640311.005,59.05809,-139.7681
13182567.386,59.15067,-138.7569
13803842.646,59.16867,-137.9852
14518675.774,59.1598,-137.0288
15233508.902,59.11666,-136.0808
15948342.031,59.02268,-134.575
16663175.159,59.35913,-135.2607
17378008.287,59.02205,-135.0656
18197008.586,58.81037,-134.4766
19139342.174,58.52512,-134.2053
20081675.763,58.16839,-134.1372
21024009.351,57.63185,-134.0419
21966342.94,57.16842,-132.2922
22908676.528,56.57943,-131.4483
23988329.19,55.75639,-129.5213
25260737.092,54.78773,-125.9822
26533144.994,53.81853,-122.2135
27805552.896,52.46634,-118.8789
29077960.798,52.27031,-109.8447
30350368.7,51.27615,-105.3811
31622776.602,51.1507,-99.55688
33113112.148,49.09644,-96.6683
34827877.388,47.48696,-85.45552
36542642.628,46.57391,-77.17094
38257407.867,45.26678,-66.89365
39972173.107,44.099,-56.54459
41686938.347,42.81665,-46.25792
43651583.224,41.06517,-33.16395
45912084.056,40.56112,-13.00511
48172584.889,38.4026,-0.9975374
50433085.721,35.26924,21.95896
52693586.554,36.06048,32.53143
54954087.386,29.74974,60.41973
57543993.734,41.49702,95.07281
60523914.189,34.07545,101.4121
63503834.643,38.90879,109.316
66483755.098,34.66642,125.2888
69463675.552,31.80682,150.5161
72443596.007,29.9919,172.5605
75857757.503,28.01499,-160.2469
79881464.586,24.08869,-121.9953
83905171.669,27.02729,-91.81531
87928878.751,23.76469,-61.4424
91952585.834,24.17315,-18.58473
95976292.917,20.28599,13.76882
100000000,30.23049,55.81379

