Hz, dB, degree
10000,-1.359697,117.2937
10530.428,-0.8445993,115.6023
11060.856,-0.3591185,114.3113
11591.284,0.08623917,112.9961
12121.711,0.5289032,111.6198
12652.139,0.9134188,110.6114
13182.567,1.313069,109.5514
13803.843,1.714364,108.5204
14518.676,2.196971,107.344
15233.509,2.637277,106.1765
15948.342,3.052857,105.2409
16663.175,3.466811,104.3667
17378.008,3.838635,103.3037
18197.009,4.257102,102.4204
19139.343,4.718329,101.3351
20081.676,5.146961,100.4175
21024.01,5.544092,99.64233
21966.343,5.950729,98.77146
22908.677,6.320381,98.10356
23988.329,6.715553,97.12783
25260.737,7.180987,96.16235
26533.145,7.609534,95.39921
27805.553,8.017061,94.59401
29077.961,8.414396,93.78828
30350.369,8.775621,93.1433
31622.777,9.133745,92.47637
33113.112,9.536641,91.78728
34827.877,9.983275,90.81135
36542.642,10.40316,90.01585
38257.408,10.82341,89.31261
39972.173,11.16061,88.61609
41686.938,11.52726,87.92323
43651.583,11.91242,87.15681
45912.084,12.33784,86.28098
48172.585,12.74664,85.48059
50433.085,13.13736,84.69968
52693.586,13.49834,83.97738
54954.087,13.85424,83.19712
57543.994,14.24273,82.40316
60523.914,14.65362,81.4882
63503.835,15.05119,80.52119
66483.755,15.42988,79.60947
69463.676,15.78574,78.85891
72443.596,16.12033,78.05228
75857.758,16.4829,77.1988
79881.465,16.89382,76.0463
83905.172,17.28738,75.11467
87928.879,17.64531,74.14878
91952.586,17.99399,73.1366
95976.293,18.31385,72.23254
100000,18.61698,71.32893
104712.855,18.96367,70.26237
110135.419,19.3459,69.09068
115557.983,19.69356,67.91423
120980.546,20.02296,66.83257
126403.11,20.32767,65.7666
131825.674,20.62765,64.6467
138038.426,20.94299,63.40798
145186.757,21.28708,62.02853
152335.089,21.59785,60.68237
159483.42,21.89287,59.34689
166631.752,22.16348,58.02749
173780.083,22.4095,56.80167
181970.086,22.66852,55.4021
191393.422,22.95488,53.77158
200816.758,23.1914,52.22853
210240.093,23.40974,50.68315
219663.429,23.59699,49.27991
229086.765,23.74722,47.91502
239883.292,23.91259,46.67383
252607.371,24.09647,45.28222
265331.45,24.26447,44.09895
278055.529,24.43347,42.97942
290779.608,24.58992,41.8251
303503.687,24.72616,40.85824
316227.766,24.8656,39.75014
331131.121,25.002,38.73475
348278.773,25.15383,37.54192
365426.426,25.2895,36.48867
382574.078,25.40312,35.36032
399721.731,25.51961,34.45091
416869.383,25.62324,33.51148
436515.832,25.71286,32.58905
459120.84,25.8327,31.52795
481725.849,25.92288,30.63582
504330.857,26.0059,29.81924
526935.866,26.08547,28.98309
549540.874,26.14885,28.28294
575439.937,26.22303,27.55117
605239.142,26.29372,26.71367
635038.346,26.36105,26.02465
664837.551,26.42374,25.37778
694636.755,26.47385,24.90088
724435.96,26.53035,24.42135
758577.575,26.58585,24.01119
798814.646,26.65331,23.57262
839051.717,26.71923,23.27496
879288.788,26.83279,23.24369
919525.858,27.02567,22.99826
959762.929,27.26803,21.48713
1000000,27.2139,19.4397
1047128.548,27.07726,18.79564
1101354.186,27.00918,18.6177
1155579.824,26.98977,18.56156
1209805.463,27.00793,18.45283
1264031.101,27.01561,18.32778
1318256.739,27.02485,18.28151
1380384.265,27.04886,18.19655
1451867.578,27.07136,18.11635
1523350.891,27.09055,18.08284
1594834.203,27.10799,18.09496
1666317.516,27.1318,18.04502
1737800.829,27.15236,17.99441
1819700.859,27.18225,18.02476
1913934.218,27.20483,17.81472
2008167.577,27.2083,17.55006
2102400.935,27.15257,17.27215
2196634.294,27.04579,17.59478
2290867.653,26.98217,18.26287
2398832.919,26.97248,19.09889
2526073.709,27.01067,19.93577
2653314.499,27.04464,20.5385
2780555.289,27.08156,21.14149
2907796.08,27.10394,21.62679
3035036.87,27.12921,22.15773
3162277.66,27.14251,22.72256
3311311.215,27.16883,23.34817
3482787.739,27.18065,24.10613
3654264.263,27.20422,24.87444
3825740.787,27.22111,25.606
3997217.311,27.24141,26.36189
4168693.835,27.25202,27.18472
4365158.322,27.26737,28.15528
4591208.405,27.28977,29.23073
4817258.489,27.31602,30.36295
5043308.572,27.33873,31.59927
5269358.656,27.36593,32.72756
5495408.739,27.3938,33.89614
5754399.373,27.43642,35.32356
6052391.419,27.50842,36.96515
6350383.464,27.76728,38.27349
6648375.51,27.56811,39.10345
6946367.555,27.60931,40.80558
7244359.601,27.66262,42.45224
7585775.75,27.72262,44.12352
7988146.458,27.79762,46.05224
8390517.167,27.86655,47.92723
8792887.875,27.94248,49.82164
9195258.583,28.01042,51.58938
9597629.292,28.07282,53.47452
10000000,28.12578,55.45474
10471285.481,28.32221,57.34911
11013541.862,28.32427,59.51464
11555798.243,28.50926,61.77011
12098054.624,28.59485,63.71671
12640311.005,28.68545,65.82666
13182567.386,28.77894,67.62354
13803842.646,28.87319,69.70641
14518675.774,28.96919,72.04795
15233508.902,29.05914,74.23965
15948342.031,29.19527,76.57704
16663175.159,29.28926,76.3126
17378008.287,29.1274,78.2718
18197008.586,29.04408,80.16853
19139342.174,28.89766,82.10191
20081675.763,28.69241,84.04129
21024009.351,28.3859,86.10171
21966342.94,28.09787,88.29561
22908676.528,27.68324,90.56909
23988329.19,27.14457,93.77655
25260737.092,26.49834,98.10733
26533144.994,25.78792,103.0199
27805552.896,25.08731,108.8239
29077960.798,24.42451,113.5164
30350368.7,23.57194,120.2289
31622776.602,23.31749,127.3028
33113112.148,21.99155,133.41
34827877.388,20.88533,144.6905
36542642.628,20.59254,153.7004
38257407.867,18.96597,165.104
39972173.107,17.97007,177.4893
41686938.347,17.01938,-169.8348
43651583.224,15.90821,-154.4244
45912084.056,14.73988,-125.5045
48172584.889,14.80184,-125.5817
50433085.721,12.98082,-104.9955
52693586.554,11.86994,-86.01055
54954087.386,10.61737,-47.38243
57543993.734,14.44584,-55.91709
60523914.189,12.70947,11.2742
63503834.643,11.61326,-17.29142
66483755.098,9.701132,9.333086
69463675.552,8.411685,39.23431
72443596.007,7.339811,63.28475
75857757.503,6.707674,86.98559
79881464.586,5.680742,151.5703
83905171.669,5.460384,149.0171
87928878.751,4.327436,-178.1202
91952585.834,3.111518,-141.8436
95976292.917,2.80262,-93.80518
100000000,3.067973,-76.70078

