Hz, dB, degree
10000,29.95206,112.6722
10530.428,30.42369,111.3118
11060.856,30.89214,110.1516
11591.284,31.35049,109.1004
12121.711,31.76143,107.9703
12652.139,32.1536,106.9858
13182.567,32.56845,106.3458
13803.843,33.00721,105.3497
14518.676,33.47956,103.9499
15233.509,33.87731,103.2499
15948.342,34.3387,102.2929
16663.175,34.69342,101.46
17378.008,35.07784,100.9176
18197.009,35.48737,99.7511
19139.343,35.96301,98.89883
20081.676,36.34595,98.0407
21024.01,36.77481,97.41071
21966.343,37.22437,96.72404
22908.677,37.5686,95.97974
23988.329,37.9625,95.22711
25260.737,38.43165,94.28107
26533.145,38.8477,93.2462
27805.553,39.24763,92.59597
29077.961,39.67123,92.11726
30350.369,39.99984,91.36942
31622.777,40.4072,90.87392
33113.112,40.78793,90.15835
34827.877,41.24467,89.32314
36542.642,41.66622,88.70174
38257.408,42.04178,87.82991
39972.173,42.43531,87.18266
41686.938,42.77431,86.63799
43651.583,43.17889,85.87901
45912.084,43.62823,84.93033
48172.585,44.03424,84.21703
50433.085,44.41831,83.40109
52693.586,44.77634,82.76721
54954.087,45.12576,81.87491
57543.994,45.52632,81.18788
60523.914,45.94482,80.19009
63503.835,46.34733,79.41084
66483.755,46.73729,78.48819
69463.676,47.0717,77.68552
72443.596,47.44933,76.87085
75857.758,47.81201,75.9894
79881.465,48.22748,74.9221
83905.172,48.59876,73.86643
87928.879,48.97581,72.935
91952.586,49.32463,71.95864
95976.293,49.67884,70.95437
100000,49.99592,69.97828
104712.855,50.33838,68.85021
110135.419,50.73409,67.63806
115557.983,51.06935,66.56756
120980.546,51.40667,65.20904
126403.11,51.73001,64.20959
131825.674,52.03602,63.16829
138038.426,52.36903,61.64869
145186.757,52.71976,60.25537
152335.089,53.04222,58.91295
159483.42,53.33932,57.35813
166631.752,53.63836,56.17442
173780.083,53.89583,54.85341
181970.086,54.20107,53.27976
191393.422,54.50285,51.50584
200816.758,54.77285,49.92691
210240.093,55.02477,48.13103
219663.429,55.22902,46.61562
229086.765,55.42091,44.8968
239883.292,55.61193,43.2137
252607.371,55.80102,41.4464
265331.45,55.98461,39.76104
278055.529,56.16721,38.33492
290779.608,56.2804,36.92669
303503.687,56.44718,35.63594
316227.766,56.5465,34.35868
331131.121,56.70271,33.10436
348278.773,56.84196,31.55738
365426.426,56.98186,30.05868
382574.078,57.12112,28.52144
399721.731,57.24025,27.24984
416869.383,57.33461,26.06681
436515.832,57.44717,24.60694
459120.84,57.56744,22.97946
481725.849,57.63115,21.52028
504330.857,57.73449,20.17495
526935.866,57.80149,18.91585
549540.874,57.87043,17.61946
575439.937,57.94687,16.33457
605239.142,58.01393,14.72947
635038.346,58.06044,13.49722
664837.551,58.10734,12.0914
694636.755,58.16763,10.99372
724435.96,58.20246,9.717994
758577.575,58.25446,8.515203
798814.646,58.29687,7.086978
839051.717,58.35871,5.954977
879288.788,58.43926,4.842858
919525.858,58.61524,3.342267
959762.929,58.73999,0.6236599
1000000,58.56504,-1.875034
1047128.548,58.39376,-3.205641
1101354.186,58.2974,-4.31708
1155579.824,58.22672,-5.599437
1209805.463,58.16943,-6.827037
1264031.101,58.12225,-7.822679
1318256.739,58.03374,-9.111895
1380384.265,57.95843,-10.34347
1451867.578,57.85734,-11.92514
1523350.891,57.76955,-13.21056
1594834.203,57.67369,-14.82136
1666317.516,57.59027,-16.28207
1737800.829,57.50301,-17.64201
1819700.859,57.37703,-19.45855
1913934.218,57.18395,-21.70639
2008167.577,56.90089,-24.16476
2102400.935,56.48872,-26.01505
2196634.294,55.95309,-26.034
2290867.653,55.67015,-24.8992
2398832.919,55.57993,-24.19744
2526073.709,55.50996,-24.39601
2653314.499,55.40724,-24.95787
2780555.289,55.28941,-25.90774
2907796.08,55.12971,-26.84127
3035036.87,54.97268,-27.58961
3162277.66,54.79917,-28.42302
3311311.215,54.56898,-29.07925
3482787.739,54.32703,-29.81905
3654264.263,54.0546,-30.60868
3825740.787,53.78322,-31.17644
3997217.311,53.52873,-31.66274
4168693.835,53.26199,-31.89168
4365158.322,52.96823,-32.26099
4591208.405,52.62981,-32.51955
4817258.489,52.30453,-32.51537
5043308.572,51.99295,-32.51005
5269358.656,51.69199,-32.45539
5495408.739,51.37838,-32.19608
5754399.373,51.02825,-31.97671
6052391.419,50.66863,-31.41021
6350383.464,50.32745,-30.90172
6648375.51,49.96053,-30.10127
6946367.555,49.63353,-29.60826
7244359.601,49.30681,-28.61698
7585775.75,48.96231,-27.76444
7988146.458,48.55999,-26.3712
8390517.167,48.20221,-25.11553
8792887.875,47.84423,-23.91608
9195258.583,47.50271,-22.96619
9597629.292,47.03166,-20.80256
10000000,46.77881,-19.3475
10471285.481,46.4189,-17.5266
11013541.862,46.07334,-15.4923
11555798.243,45.92693,-15.96455
12098054.624,45.10334,-12.45164
12640311.005,44.69904,-9.925987
13182567.386,44.33597,-7.626649
13803842.646,43.89061,-4.931931
14518675.774,43.38433,-1.589753
15233508.902,42.88858,1.744093
15948342.031,42.39354,5.478115
16663175.159,41.88218,10.09897
17378008.287,41.68763,13.47011
18197008.586,41.26343,17.34426
19139342.174,40.82144,22.05804
20081675.763,40.41721,26.53815
21024009.351,40.04476,31.11722
21966342.94,39.44664,33.92665
22908676.528,38.99189,39.33902
23988329.19,38.50185,44.58696
25260737.092,38.00713,50.89892
26533144.994,37.15295,54.52892
27805552.896,36.54319,65.77869
29077960.798,36.99213,72.76624
30350368.7,34.7895,69.3915
31622776.602,34.68649,81.78436
33113112.148,34.07926,90.13966
34827877.388,33.50402,100.9256
36542642.628,32.9435,108.5231
38257407.867,32.21353,117.4481
39972173.107,31.5818,126.0704
41686938.347,31.00161,134.5287
43651583.224,31.61315,135.9688
45912084.056,27.56023,155.5768
48172584.889,26.45468,170.0216
50433085.721,25.00788,-175.4611
52693586.554,23.55781,-157.1819
54954087.386,22.86912,-141.1111
57543993.734,22.46494,-122.9858
60523914.189,22.00097,-104.2176
63503834.643,20.74844,-98.03091
66483755.098,16.31272,-65.89787
69463675.552,14.44641,-18.82163
72443596.007,16.3012,-21.56779
75857757.503,14.35799,0.1034129
79881464.586,10.11005,22.69427
83905171.669,9.056169,63.95515
87928878.751,8.355393,96.42498
91952585.834,7.941947,109.4396
95976292.917,2.962038,139.4037
100000000,2.721586,-165.6022

