f, gain
100000,-14.4449
162375,-12.4553
224750,-11.4803
287125,-10.8499
349500,-10.4089
411875,-10.1172
474250,-9.93219
536625,-9.77144
599000,-9.67894
661375,-9.60911
723750,-9.55408
786125,-9.48808
848500,-9.31911
910875,-9.13528
973250,-9.1588
1.03562e+06,-9.47246
1.098e+06,-9.62208
1.16038e+06,-9.70536
1.22275e+06,-9.76233
1.28512e+06,-9.83564
1.3475e+06,-9.89933
1.40988e+06,-9.96973
1.47225e+06,-10.041
1.53462e+06,-10.1105
1.597e+06,-10.1889
1.65938e+06,-10.2688
1.72175e+06,-10.3512
1.78412e+06,-10.4394
1.8465e+06,-10.5387
1.90888e+06,-10.6563
1.97125e+06,-10.8099
2.03362e+06,-11.0202
2.096e+06,-11.3075
2.15838e+06,-11.6438
2.22075e+06,-11.9447
2.28312e+06,-12.1477
2.3455e+06,-12.2516
2.40788e+06,-12.3094
2.47025e+06,-12.3534
2.53262e+06,-12.3958
2.595e+06,-12.4473
2.65738e+06,-12.504
2.71975e+06,-12.5698
2.78212e+06,-12.642
2.8445e+06,-12.7182
2.90688e+06,-12.7987
2.96925e+06,-12.8839
3.03162e+06,-12.9739
3.094e+06,-13.0646
3.15638e+06,-13.1544
3.21875e+06,-13.249
3.28112e+06,-13.3417
3.3435e+06,-13.4377
3.40588e+06,-13.5327
3.46825e+06,-13.6298
3.53062e+06,-13.7268
3.593e+06,-13.8196
3.65538e+06,-13.9201
3.71775e+06,-14.017
3.78012e+06,-14.1145
3.8425e+06,-14.2099
3.90488e+06,-14.3068
3.96725e+06,-14.4028
4.02962e+06,-14.5004
4.092e+06,-14.5934
4.15438e+06,-14.6893
4.21675e+06,-14.7831
4.27912e+06,-14.8764
4.3415e+06,-14.9707
4.40388e+06,-15.0634
4.46625e+06,-15.1559
4.52862e+06,-15.2454
4.591e+06,-15.3381
4.65338e+06,-15.4279
4.71575e+06,-15.5195
4.77812e+06,-15.6104
4.8405e+06,-15.6998
4.90288e+06,-15.7861
4.96525e+06,-15.8742
5.02762e+06,-15.9609
5.09e+06,-16.0493
5.15238e+06,-16.1352
5.21475e+06,-16.2194
5.27712e+06,-16.3047
5.3395e+06,-16.3906
5.40188e+06,-16.4752
5.46425e+06,-16.5585
5.52662e+06,-16.641
5.589e+06,-16.7241
5.65138e+06,-16.8084
5.71375e+06,-16.8911
5.77612e+06,-16.9715
5.8385e+06,-17.0533
5.90088e+06,-17.1356
5.96325e+06,-17.2159
6.02562e+06,-17.296
6.088e+06,-17.3762
6.15038e+06,-17.4551
6.21275e+06,-17.5332
6.27512e+06,-17.6126
6.3375e+06,-17.6911
6.39988e+06,-17.7676
6.46225e+06,-17.8455
6.52462e+06,-17.922
6.587e+06,-17.9991
6.64938e+06,-18.0747
6.71175e+06,-18.1497
6.77412e+06,-18.226
6.8365e+06,-18.3018
6.89888e+06,-18.3742
6.96125e+06,-18.4489
7.02362e+06,-18.5205
7.086e+06,-18.5957
7.14838e+06,-18.6669
7.21075e+06,-18.7388
7.27312e+06,-18.8083
7.3355e+06,-18.8806
7.39788e+06,-18.9487
7.46025e+06,-19.0182
7.52262e+06,-19.0873
7.585e+06,-19.1539
7.64738e+06,-19.2218
7.70975e+06,-19.2893
7.77212e+06,-19.3571
7.8345e+06,-19.4208
7.89688e+06,-19.4837
7.95925e+06,-19.5404
8.02162e+06,-19.6027
8.084e+06,-19.6666
8.14638e+06,-19.7494
8.20875e+06,-19.8555
8.27112e+06,-20.0225
8.3335e+06,-20.135
8.39588e+06,-20.1939
8.45825e+06,-20.2398
8.52062e+06,-20.289
8.583e+06,-20.3455
8.64538e+06,-20.4002
8.70775e+06,-20.4572
8.77012e+06,-20.5165
8.8325e+06,-20.5741
8.89488e+06,-20.6344
8.95725e+06,-20.6933
9.01962e+06,-20.7506
9.082e+06,-20.8096
9.14438e+06,-20.871
9.20675e+06,-20.9328
9.26912e+06,-20.9921
9.3315e+06,-21.0511
9.39388e+06,-21.1118
9.45625e+06,-21.171
9.51862e+06,-21.2311
9.581e+06,-21.2898
9.64338e+06,-21.3478
9.70575e+06,-21.4043
9.76812e+06,-21.4641
9.8305e+06,-21.524
9.89288e+06,-21.5796
9.95525e+06,-21.6376
1.00176e+07,-21.6961
1.008e+07,-21.7527
1.01424e+07,-21.8072
1.02048e+07,-21.8635
1.02671e+07,-21.9187
1.03295e+07,-21.9759
1.03919e+07,-22.0303
1.04542e+07,-22.084
1.05166e+07,-22.1404
1.0579e+07,-22.1957
1.06414e+07,-22.2466
1.07038e+07,-22.2965
1.07661e+07,-22.3542
1.08285e+07,-22.4051
1.08909e+07,-22.4531
1.09532e+07,-22.5136
1.10156e+07,-22.563
1.1078e+07,-22.6153
1.11404e+07,-22.6634
1.12028e+07,-22.7155
1.12651e+07,-22.7688
1.13275e+07,-22.8203
1.13899e+07,-22.873
1.14522e+07,-22.9162
1.15146e+07,-22.9709
1.1577e+07,-23.0167
1.16394e+07,-23.0638
1.17018e+07,-23.1178
1.17641e+07,-23.1714
1.18265e+07,-23.2198
1.18889e+07,-23.2545
1.19512e+07,-23.3228
1.20136e+07,-23.3814
1.2076e+07,-22.0579
1.21384e+07,-22.1302
1.22008e+07,-22.1705
1.22631e+07,-22.2271
1.23255e+07,-22.2832
1.23879e+07,-22.3348
1.24502e+07,-22.3849
1.25126e+07,-22.4361
1.2575e+07,-22.4846
1.26374e+07,-22.538
1.26998e+07,-22.5873
1.27621e+07,-22.6323
1.28245e+07,-22.6765
1.28869e+07,-22.7221
1.29492e+07,-22.771
1.30116e+07,-22.8221
1.3074e+07,-22.8576
1.31364e+07,-22.9017
1.31988e+07,-22.9492
1.32611e+07,-22.9972
1.33235e+07,-23.0402
1.33859e+07,-23.0905
1.34482e+07,-23.1319
1.35106e+07,-23.1794
1.3573e+07,-23.2261
1.36354e+07,-23.2704
1.36978e+07,-23.3138
1.37601e+07,-23.3566
1.38225e+07,-23.4008
1.38849e+07,-23.4461
1.39472e+07,-23.4879
1.40096e+07,-23.5355
1.4072e+07,-23.5792
1.41344e+07,-23.6163
1.41968e+07,-23.6631
1.42591e+07,-23.7064
1.43215e+07,-23.7457
1.43839e+07,-23.7819
1.44462e+07,-23.8272
1.45086e+07,-23.8622
1.4571e+07,-23.9081
1.46334e+07,-23.9448
1.46958e+07,-23.983
1.47581e+07,-24.0192
1.48205e+07,-24.0621
1.48829e+07,-24.1011
1.49452e+07,-24.1381
1.50076e+07,-24.1803
1.507e+07,-24.2134
1.51324e+07,-24.2576
1.51948e+07,-24.2948
1.52571e+07,-24.3354
1.53195e+07,-24.3704
1.53819e+07,-24.4106
1.54442e+07,-24.449
1.55066e+07,-24.4872
1.5569e+07,-24.5256
1.56314e+07,-24.5613
1.56938e+07,-24.5881
1.57561e+07,-24.6337
1.58185e+07,-24.6637
1.58809e+07,-24.7126
1.59432e+07,-24.7453
1.60056e+07,-24.7791
1.6068e+07,-24.8174
1.61304e+07,-24.8516
1.61928e+07,-24.8856
1.62551e+07,-24.921
1.63175e+07,-24.955
1.63799e+07,-24.9923
1.64422e+07,-25.0207
1.65046e+07,-25.0564
1.6567e+07,-25.0917
1.66294e+07,-25.1227
1.66918e+07,-25.1543
1.67541e+07,-25.1909
1.68165e+07,-25.2213
1.68789e+07,-25.2553
1.69412e+07,-25.2823
1.70036e+07,-25.3145
1.7066e+07,-25.3462
1.71284e+07,-25.3754
1.71908e+07,-25.4047
1.72531e+07,-25.4345
1.73155e+07,-25.4633
1.73779e+07,-25.4907
1.74402e+07,-25.5203
1.75026e+07,-25.5498
1.7565e+07,-25.5788
1.76274e+07,-25.6085
1.76898e+07,-25.6379
1.77521e+07,-25.6621
1.78145e+07,-25.6879
1.78769e+07,-25.7145
1.79392e+07,-25.7388
1.80016e+07,-25.7628
1.8064e+07,-25.783
1.81264e+07,-25.806
1.81888e+07,-25.8312
1.82511e+07,-25.8534
1.83135e+07,-25.8715
1.83759e+07,-25.8927
1.84382e+07,-25.912
1.85006e+07,-25.9275
1.8563e+07,-25.9478
1.86254e+07,-25.9644
1.86878e+07,-25.9789
1.87501e+07,-25.9971
1.88125e+07,-26.0161
1.88749e+07,-26.0355
1.89372e+07,-26.0592
1.89996e+07,-26.0802
1.9062e+07,-26.106
1.91244e+07,-26.1332
1.91868e+07,-26.1685
1.92491e+07,-26.2175
1.93115e+07,-26.2655
1.93739e+07,-26.3178
1.94362e+07,-26.3762
1.94986e+07,-26.4434
1.9561e+07,-26.5035
1.96234e+07,-26.5755
1.96858e+07,-26.6369
1.97481e+07,-26.7112
1.98105e+07,-26.8096
1.98729e+07,-26.9848
1.99352e+07,-27.0066
1.99976e+07,-27.1058
2.006e+07,-27.2253
2.01224e+07,-27.3865
2.01848e+07,-27.5985
2.02471e+07,-27.841
2.03095e+07,-28.1014
2.03719e+07,-28.3782
2.04342e+07,-28.6115
2.04966e+07,-28.7894
2.0559e+07,-28.8608
2.06214e+07,-28.9159
2.06838e+07,-28.9373
2.07461e+07,-28.8897
2.08085e+07,-28.8305
2.08709e+07,-28.7148
2.09332e+07,-28.6918
2.09956e+07,-28.7097
2.1058e+07,-28.6874
2.11204e+07,-28.6566
2.11828e+07,-28.6299
2.12451e+07,-28.6034
2.13075e+07,-28.5826
2.13699e+07,-28.5641
2.14322e+07,-28.5541
2.14946e+07,-28.5424
2.1557e+07,-28.5324
2.16194e+07,-28.5346
2.16818e+07,-28.5285
2.17441e+07,-28.5325
2.18065e+07,-28.5297
2.18689e+07,-28.5347
2.19312e+07,-28.5383
2.19936e+07,-28.5504
2.2056e+07,-28.5166
2.21184e+07,-28.5335
2.21808e+07,-28.544
2.22431e+07,-28.5557
2.23055e+07,-28.5712
2.23679e+07,-28.5806
2.24302e+07,-28.5953
2.24926e+07,-28.6097
2.2555e+07,-28.6223
2.26174e+07,-28.636
2.26798e+07,-28.6509
2.27421e+07,-28.6614
2.28045e+07,-28.6745
2.28669e+07,-28.6886
2.29292e+07,-28.7056
2.29916e+07,-28.721
2.3054e+07,-28.7341
2.31164e+07,-28.7523
2.31788e+07,-28.7635
2.32411e+07,-28.7787
2.33035e+07,-28.7948
2.33659e+07,-28.8132
2.34282e+07,-28.8268
2.34906e+07,-28.8443
2.3553e+07,-28.8577
2.36154e+07,-28.8781
2.36778e+07,-28.891
2.37401e+07,-28.9108
2.38025e+07,-28.9253
2.38649e+07,-28.9442
2.39272e+07,-28.9579
2.39896e+07,-28.8546
2.4052e+07,-28.9946
2.41144e+07,-29.0116
2.41768e+07,-29.0319
2.42391e+07,-29.047
2.43015e+07,-29.064
2.43639e+07,-29.0844
2.44262e+07,-29.0972
2.44886e+07,-29.1157
2.4551e+07,-29.1381
2.46134e+07,-29.1525
2.46758e+07,-29.1663
2.47381e+07,-29.191
2.48005e+07,-29.2099
2.48629e+07,-29.2212
2.49252e+07,-29.2411
2.49876e+07,-29.4874
2.505e+07,-29.2951
2.51124e+07,-29.3179
2.51748e+07,-29.3341
2.52371e+07,-29.3557
2.52995e+07,-29.3727
2.53619e+07,-29.3898
2.54242e+07,-29.4039
2.54866e+07,-29.4209
2.5549e+07,-29.4406
2.56114e+07,-29.4581
2.56738e+07,-29.47
2.57361e+07,-29.493
2.57985e+07,-29.5084
2.58609e+07,-29.5319
2.59232e+07,-29.5461
2.59856e+07,-29.5601
2.6048e+07,-29.5796
2.61104e+07,-29.5976
2.61728e+07,-29.6159
2.62351e+07,-29.6314
2.62975e+07,-29.6509
2.63599e+07,-29.6688
2.64222e+07,-29.6822
2.64846e+07,-29.6993
2.6547e+07,-29.7208
2.66094e+07,-29.7405
2.66718e+07,-29.7541
2.67341e+07,-29.7751
2.67965e+07,-29.79
2.68589e+07,-29.8045
2.69212e+07,-29.8233
2.69836e+07,-29.8345
2.7046e+07,-29.8567
2.71084e+07,-29.8747
2.71708e+07,-29.892
2.72331e+07,-29.907
2.72955e+07,-29.926
2.73579e+07,-29.9402
2.74202e+07,-29.9563
2.74826e+07,-29.9738
2.7545e+07,-29.9906
2.76074e+07,-30.0066
2.76698e+07,-30.0215
2.77321e+07,-30.0415
2.77945e+07,-30.0523
2.78569e+07,-30.0716
2.79192e+07,-30.089
2.79816e+07,-30.1003
2.8044e+07,-30.1152
2.81064e+07,-30.1385
2.81688e+07,-30.1552
2.82311e+07,-30.168
2.82935e+07,-30.1852
2.83559e+07,-30.1982
2.84182e+07,-30.215
2.84806e+07,-30.233
2.8543e+07,-30.2498
2.86054e+07,-30.2643
2.86678e+07,-30.2794
2.87301e+07,-30.2917
2.87925e+07,-30.3124
2.88549e+07,-30.326
2.89172e+07,-30.3396
2.89796e+07,-30.3583
2.9042e+07,-30.3715
2.91044e+07,-30.3856
2.91668e+07,-30.4017
2.92291e+07,-30.4194
2.92915e+07,-30.4338
2.93539e+07,-30.4472
2.94162e+07,-30.4679
2.94786e+07,-30.4794
2.9541e+07,-30.4958
2.96034e+07,-30.5056
2.96658e+07,-30.524
2.97281e+07,-30.5345
2.97905e+07,-30.5537
2.98529e+07,-30.5656
2.99152e+07,-30.5813
2.99776e+07,-30.5984
3.004e+07,-30.6135
3.01024e+07,-30.6242
3.01648e+07,-30.6423
3.02271e+07,-30.651
3.02895e+07,-30.6695
3.03519e+07,-30.6873
3.04142e+07,-30.6997
3.04766e+07,-30.7125
3.0539e+07,-30.7258
3.06014e+07,-30.7426
3.06638e+07,-30.7613
3.07261e+07,-30.7734
3.07885e+07,-30.789
3.08509e+07,-30.8072
3.09132e+07,-30.8271
3.09756e+07,-30.8415
3.1038e+07,-30.8562
