f,noise
100000,-85.6436
162375,-85.3451
224750,-85.2833
287125,-88.1938
349500,-88.1029
411875,-89.5515
474250,-89.6174
536625,-89.0844
599000,-90.4604
661375,-90.0798
723750,-90.5857
786125,-91.2387
848500,-91.1361
910875,-90.8819
973250,-90.1801
1.03562e+06,-91.0875
1.098e+06,-90.7631
1.16038e+06,-91.1206
1.22275e+06,-91.3812
1.28512e+06,-91.3184
1.3475e+06,-90.8073
1.40988e+06,-88.4149
1.47225e+06,-89.7684
1.53462e+06,-90.0745
1.597e+06,-88.0121
1.65938e+06,-87.5019
1.72175e+06,-88.3885
1.78412e+06,-87.5146
1.8465e+06,-89.5096
1.90888e+06,-87.3677
1.97125e+06,-87.6623
2.03362e+06,-89.1455
2.096e+06,-88.7552
2.15838e+06,-86.0223
2.22075e+06,-87.3317
2.28312e+06,-88.5358
2.3455e+06,-86.7639
2.40788e+06,-87.1578
2.47025e+06,-88.2242
2.53262e+06,-85.1722
2.595e+06,-87.3306
2.65738e+06,-87.9751
2.71975e+06,-88.385
2.78212e+06,-85.7137
2.8445e+06,-85.9678
2.90688e+06,-88.3254
2.96925e+06,-85.1778
3.03162e+06,-85.3188
3.094e+06,-88.0686
3.15638e+06,-86.7411
3.21875e+06,-86.6272
3.28112e+06,-86.9896
3.3435e+06,-86.761
3.40588e+06,-86.1362
3.46825e+06,-84.0054
3.53062e+06,-87.4824
3.593e+06,-86.6909
3.65538e+06,-86.9048
3.71775e+06,-85.6964
3.78012e+06,-86.6741
3.8425e+06,-84.4044
3.90488e+06,-87.3971
3.96725e+06,-86.1269
4.02962e+06,-85.8234
4.092e+06,-85.67
4.15438e+06,-86.9075
4.21675e+06,-87.7519
4.27912e+06,-85.9862
4.3415e+06,-86.8488
4.40388e+06,-85.3566
4.46625e+06,-86.1065
4.52862e+06,-85.3353
4.591e+06,-84.7498
4.65338e+06,-86.7983
4.71575e+06,-86.2515
4.77812e+06,-86.8475
4.8405e+06,-86.8972
4.90288e+06,-87.55
4.96525e+06,-85.5704
5.02762e+06,-83.2658
5.09e+06,-85.2162
5.15238e+06,-86.6377
5.21475e+06,-86.5771
5.27712e+06,-86.1499
5.3395e+06,-86.469
5.40188e+06,-86.0205
5.46425e+06,-85.5119
5.52662e+06,-85.2115
5.589e+06,-85.3951
5.65138e+06,-85.1974
5.71375e+06,-86.8159
5.77612e+06,-86.2639
5.8385e+06,-85.0272
5.90088e+06,-86.7865
5.96325e+06,-84.6231
6.02562e+06,-86.475
6.088e+06,-86.7041
6.15038e+06,-85.7842
6.21275e+06,-85.6856
6.27512e+06,-84.6608
6.3375e+06,-85.0023
6.39988e+06,-86.0026
6.46225e+06,-85.4418
6.52462e+06,-86.0588
6.587e+06,-84.2755
6.64938e+06,-85.0754
6.71175e+06,-85.2563
6.77412e+06,-83.0978
6.8365e+06,-84.2778
6.89888e+06,-85.5363
6.96125e+06,-86.0803
7.02362e+06,-85.8739
7.086e+06,-85.6722
7.14838e+06,-84.3575
7.21075e+06,-83.5637
7.27312e+06,-85.7408
7.3355e+06,-83.317
7.39788e+06,-86.0601
7.46025e+06,-84.0358
7.52262e+06,-83.7003
7.585e+06,-84.869
7.64738e+06,-85.2605
7.70975e+06,-84.2323
7.77212e+06,-85.6125
7.8345e+06,-83.9809
7.89688e+06,-84.951
7.95925e+06,-83.6243
8.02162e+06,-83.8796
8.084e+06,-85.36
8.14638e+06,-84.4014
8.20875e+06,-85.3491
8.27112e+06,-84.91
8.3335e+06,-84.4134
8.39588e+06,-84.9964
8.45825e+06,-85.2754
8.52062e+06,-83.4415
8.583e+06,-84.68
8.64538e+06,-84.5994
8.70775e+06,-83.8482
8.77012e+06,-83.7866
8.8325e+06,-84.3932
8.89488e+06,-85.4631
8.95725e+06,-84.8354
9.01962e+06,-83.6758
9.082e+06,-82.7248
9.14438e+06,-84.4645
9.20675e+06,-84.8281
9.26912e+06,-83.504
9.3315e+06,-84.2984
9.39388e+06,-86.2187
9.45625e+06,-86.5009
9.51862e+06,-84.3227
9.581e+06,-84.099
9.64338e+06,-86.4408
9.70575e+06,-85.0363
9.76812e+06,-84.6733
9.8305e+06,-86.0304
9.89288e+06,-85.4815
9.95525e+06,-84.4653
1.00176e+07,-85.714
1.008e+07,-83.9139
1.01424e+07,-86.0278
1.02048e+07,-86.1372
1.02671e+07,-84.7111
1.03295e+07,-85.674
1.03919e+07,-84.9532
1.04542e+07,-84.7219
1.05166e+07,-84.8852
1.0579e+07,-83.7582
1.06414e+07,-84.1778
1.07038e+07,-86.3208
1.07661e+07,-85.251
1.08285e+07,-83.0889
1.08909e+07,-84.6068
1.09532e+07,-85.1321
1.10156e+07,-83.5631
1.1078e+07,-85.7014
1.11404e+07,-85.0383
1.12028e+07,-85.5913
1.12651e+07,-85.652
1.13275e+07,-84.826
1.13899e+07,-84.4925
1.14522e+07,-84.4034
1.15146e+07,-86.1985
1.1577e+07,-83.6307
1.16394e+07,-83.6905
1.17018e+07,-82.668
1.17641e+07,-85.4349
1.18265e+07,-84.9562
1.18889e+07,-83.6702
1.19512e+07,-84.8681
1.20136e+07,-85.5681
1.2076e+07,-84.602
1.21384e+07,-87.9904
1.22008e+07,-86.7348
1.22631e+07,-88.0133
1.23255e+07,-87.298
1.23879e+07,-87.676
1.24502e+07,-84.4488
1.25126e+07,-87.2551
1.2575e+07,-86.5766
1.26374e+07,-85.3143
1.26998e+07,-86.4905
1.27621e+07,-87.4146
1.28245e+07,-85.7695
1.28869e+07,-87.0807
1.29492e+07,-87.962
1.30116e+07,-86.4004
1.3074e+07,-85.0703
1.31364e+07,-87.7551
1.31988e+07,-86.6562
1.32611e+07,-87.772
1.33235e+07,-85.1158
1.33859e+07,-87.138
1.34482e+07,-86.0219
1.35106e+07,-86.1482
1.3573e+07,-85.7636
1.36354e+07,-87.887
1.36978e+07,-86.531
1.37601e+07,-86.6507
1.38225e+07,-87.6173
1.38849e+07,-86.6049
1.39472e+07,-85.7657
1.40096e+07,-87.4828
1.4072e+07,-85.1473
1.41344e+07,-87.1492
1.41968e+07,-87.2318
1.42591e+07,-87.8975
1.43215e+07,-87.1982
1.43839e+07,-88.1561
1.44462e+07,-85.5053
1.45086e+07,-86.1129
1.4571e+07,-85.6054
1.46334e+07,-86.7513
1.46958e+07,-85.9949
1.47581e+07,-86.7613
1.48205e+07,-84.8927
1.48829e+07,-88.3684
1.49452e+07,-86.2295
1.50076e+07,-86.2243
1.507e+07,-87.0996
1.51324e+07,-87.9629
1.51948e+07,-86.438
1.52571e+07,-86.6584
1.53195e+07,-85.0337
1.53819e+07,-88.3888
1.54442e+07,-86.7757
1.55066e+07,-87.3895
1.5569e+07,-87.7313
