f,loop
100000,-68.0523
162375,-67.7318
224750,-67.5277
287125,-67.5324
349500,-67.4172
411875,-67.5082
474250,-67.5999
536625,-67.5093
599000,-67.7247
661375,-67.7275
723750,-67.771
786125,-67.7545
848500,-67.7687
910875,-67.8393
973250,-67.6954
1.03562e+06,-67.7556
1.098e+06,-67.7685
1.16038e+06,-67.7091
1.22275e+06,-67.7238
1.28512e+06,-67.6429
1.3475e+06,-67.7378
1.40988e+06,-67.7045
1.47225e+06,-67.7651
1.53462e+06,-67.7345
1.597e+06,-67.7548
1.65938e+06,-67.6972
1.72175e+06,-67.7293
1.78412e+06,-67.7395
1.8465e+06,-67.6962
1.90888e+06,-67.7288
1.97125e+06,-67.7633
2.03362e+06,-67.826
2.096e+06,-67.7976
2.15838e+06,-67.7051
2.22075e+06,-67.7434
2.28312e+06,-67.7487
2.3455e+06,-67.79
2.40788e+06,-67.7723
2.47025e+06,-67.7841
2.53262e+06,-67.7503
2.595e+06,-67.7194
2.65738e+06,-67.82
2.71975e+06,-67.8157
2.78212e+06,-67.7915
2.8445e+06,-67.8199
2.90688e+06,-67.7764
2.96925e+06,-67.7997
3.03162e+06,-67.8185
3.094e+06,-67.9062
3.15638e+06,-67.8339
3.21875e+06,-67.8546
3.28112e+06,-67.8632
3.3435e+06,-67.7549
3.40588e+06,-67.8049
3.46825e+06,-67.9108
3.53062e+06,-67.8751
3.593e+06,-67.8852
3.65538e+06,-67.8571
3.71775e+06,-67.8499
3.78012e+06,-67.8358
3.8425e+06,-67.8449
3.90488e+06,-67.8498
3.96725e+06,-67.852
4.02962e+06,-67.9782
4.092e+06,-67.9418
4.15438e+06,-67.899
4.21675e+06,-67.9091
4.27912e+06,-67.9211
4.3415e+06,-67.9279
4.40388e+06,-67.8796
4.46625e+06,-67.9666
4.52862e+06,-67.9452
4.591e+06,-67.9375
4.65338e+06,-67.9027
4.71575e+06,-67.9833
4.77812e+06,-67.9384
4.8405e+06,-67.9162
4.90288e+06,-67.9413
4.96525e+06,-68.02
5.02762e+06,-67.9349
5.09e+06,-67.9752
5.15238e+06,-67.8998
5.21475e+06,-68.043
5.27712e+06,-67.968
5.3395e+06,-67.8248
5.40188e+06,-67.9611
5.46425e+06,-68.0238
5.52662e+06,-68.053
5.589e+06,-67.9931
5.65138e+06,-67.9505
5.71375e+06,-68.1468
5.77612e+06,-68.0257
5.8385e+06,-67.9862
5.90088e+06,-67.9752
5.96325e+06,-68.019
6.02562e+06,-67.9442
6.088e+06,-67.9454
6.15038e+06,-68.0789
