f,noise
100000,-84.1906
162375,-83.7891
224750,-78.9812
287125,-78.1335
349500,-76.8918
411875,-84.3999
474250,-78.8059
536625,-81.8641
599000,-79.3123
661375,-76.0724
723750,-74.1371
786125,-76.4318
848500,-74.4441
910875,-65.3781
973250,-69.3409
1.03562e+06,-68.8318
1.098e+06,-76.771
1.16038e+06,-72.5009
1.22275e+06,-78.4004
1.28512e+06,-78.4082
1.3475e+06,-76.0782
1.40988e+06,-81.4465
1.47225e+06,-77.3637
1.53462e+06,-75.7479
1.597e+06,-73.974
1.65938e+06,-76.912
1.72175e+06,-79.7441
1.78412e+06,-73.2033
1.8465e+06,-78.4457
1.90888e+06,-75.8371
1.97125e+06,-76.324
2.03362e+06,-76.5082
2.096e+06,-71.7294
2.15838e+06,-74.1313
2.22075e+06,-67.7902
2.28312e+06,-63.7715
2.3455e+06,-64.3177
2.40788e+06,-66.8414
2.47025e+06,-65.382
2.53262e+06,-67.7213
2.595e+06,-67.7114
2.65738e+06,-66.2636
2.71975e+06,-69.8447
2.78212e+06,-70.2104
2.8445e+06,-68.4807
2.90688e+06,-69.4664
2.96925e+06,-69.2616
3.03162e+06,-73.1762
3.094e+06,-71.245
3.15638e+06,-76.8716
3.21875e+06,-76.8368
3.28112e+06,-78.9106
3.3435e+06,-76.1523
3.40588e+06,-79.4533
3.46825e+06,-80.389
3.53062e+06,-80.3163
3.593e+06,-83.0732
3.65538e+06,-80.4302
3.71775e+06,-79.8244
3.78012e+06,-78.7958
3.8425e+06,-79.424
3.90488e+06,-81.1937
3.96725e+06,-80.2328
4.02962e+06,-79.1575
4.092e+06,-80.8135
4.15438e+06,-79.1843
4.21675e+06,-78.339
4.27912e+06,-80.1607
4.3415e+06,-79.1656
4.40388e+06,-74.6888
4.46625e+06,-77.7121
4.52862e+06,-78.639
4.591e+06,-78.7501
4.65338e+06,-75.4965
4.71575e+06,-79.2645
4.77812e+06,-76.5466
4.8405e+06,-76.4005
4.90288e+06,-78.1983
4.96525e+06,-76.9778
5.02762e+06,-76.2759
5.09e+06,-79.4482
5.15238e+06,-73.8582
5.21475e+06,-77.4241
5.27712e+06,-73.3619
5.3395e+06,-74.2902
5.40188e+06,-76.775
5.46425e+06,-77.1897
5.52662e+06,-75.0774
5.589e+06,-78.9652
5.65138e+06,-78.8422
5.71375e+06,-77.6626
5.77612e+06,-77.334
5.8385e+06,-80.0351
5.90088e+06,-72.4917
5.96325e+06,-81.6685
6.02562e+06,-78.268
6.088e+06,-79.6244
6.15038e+06,-71.1815
6.21275e+06,-81.826
6.27512e+06,-80.2156
6.3375e+06,-82.5959
6.39988e+06,-82.5023
6.46225e+06,-81.3939
6.52462e+06,-83.9589
6.587e+06,-79.3323
6.64938e+06,-75.222
6.71175e+06,-85.9636
6.77412e+06,-84.5597
6.8365e+06,-81.7507
6.89888e+06,-75.1242
6.96125e+06,-82.4344
7.02362e+06,-84.0522
7.086e+06,-81.848
7.14838e+06,-81.3684
7.21075e+06,-83.0057
7.27312e+06,-81.368
7.3355e+06,-81.8719
7.39788e+06,-79.2016
7.46025e+06,-83.6022
7.52262e+06,-83.1324
7.585e+06,-82.9905
7.64738e+06,-79.506
7.70975e+06,-84.2753
7.77212e+06,-82.7542
7.8345e+06,-84.8649
7.89688e+06,-82.9335
7.95925e+06,-83.3921
8.02162e+06,-84.2418
8.084e+06,-84.8293
8.14638e+06,-82.3521
8.20875e+06,-83.0733
8.27112e+06,-84.4547
8.3335e+06,-82.523
8.39588e+06,-79.8689
8.45825e+06,-84.1758
8.52062e+06,-83.361
8.583e+06,-82.9594
8.64538e+06,-81.3756
8.70775e+06,-82.1566
8.77012e+06,-81.5045
8.8325e+06,-81.855
8.89488e+06,-80.7445
8.95725e+06,-79.9263
9.01962e+06,-81.7076
9.082e+06,-81.9785
9.14438e+06,-79.6725
9.20675e+06,-83.1272
9.26912e+06,-80.6247
9.3315e+06,-79.6146
9.39388e+06,-78.7701
