hz, db, deg
10000,27.15111,111.9278
10485.212,27.60553,110.8219
10970.425,28.04189,109.6967
11455.637,28.41409,108.762
11940.849,28.84382,107.891
12426.062,29.25387,107.3774
12911.274,29.56743,106.36
13472.989,29.98781,105.7808
14126.715,30.40298,104.7808
14780.441,30.81176,103.8254
15434.167,31.21252,103.042
16087.893,31.569,102.3773
16741.619,31.97978,101.6238
17395.345,32.29413,100.9607
18152.143,32.71827,100.1408
19013.636,33.10012,99.53968
19875.129,33.51634,98.78519
20736.621,33.89706,98.04443
21598.114,34.234,97.64227
22459.607,34.59106,96.99474
23436.729,34.96596,96.54379
24573.908,35.38131,95.74769
25711.087,35.78097,95.20184
26848.266,36.19389,94.71775
27985.445,36.53211,94.09509
29122.624,36.88648,93.56635
30259.803,37.24797,92.92962
31576.279,37.59795,92.76948
33108.399,37.99884,91.86822
34640.519,38.42844,91.42163
36172.639,38.77101,90.94569
37704.759,39.13246,90.36356
39236.879,39.49318,89.96835
40768.999,39.84151,89.41288
42542.685,40.19243,88.886
44561.742,40.56493,88.09216
46580.8,40.9619,87.46833
48599.857,41.3368,87.08714
50618.915,41.69744,86.56967
52637.972,42.04687,85.90045
54928.027,42.37884,85.34779
57593.203,42.79129,84.75843
60258.378,43.17501,84.21632
62923.554,43.53128,83.37613
65588.73,43.88641,82.94959
68253.905,44.2144,82.47678
70919.081,44.55262,81.80593
74004.47,44.90055,81.13972
77595.258,45.30983,80.2813
81186.046,45.68954,79.61018
84776.835,46.03307,78.95609
88367.623,46.38816,78.38198
91958.411,46.7026,77.59492
95549.199,47.00972,77.15419
99706.139,47.38443,76.27104
104438.149,47.74695,75.43304
109170.159,48.09506,74.56738
113902.17,48.448,73.83139
118634.18,48.75483,72.98442
123366.19,49.07133,72.30194
128733.329,49.38715,71.3886
134979.629,49.76816,70.31504
141225.929,50.12039,69.40339
147472.229,50.43875,68.40401
153718.53,50.75896,67.47384
159964.83,51.05125,66.58968
166211.13,51.35717,65.51772
173442.271,51.63795,64.42949
181857.904,51.98572,63.19076
190273.537,52.30848,61.85659
198689.17,52.5858,60.45993
207104.804,52.84652,59.2543
215520.437,53.08846,57.959
223936.07,53.25221,56.68392
233678.578,53.47385,55.82923
244768.862,53.74479,54.51056
255859.146,53.96845,53.32138
266949.429,54.18177,52.24443
278039.713,54.37984,51.05224
