hz, dB, degree
10000,27.18388,111.9727
10530.428,27.69912,110.7784
11060.856,28.1529,109.6842
11591.284,28.61551,108.7158
12121.711,29.01335,107.6867
12652.139,29.4449,106.9958
13182.567,29.79737,106.114
13803.843,30.23286,105.1179
14518.676,30.70746,104.1535
15233.509,31.14492,103.2281
15948.342,31.5785,102.4713
16663.175,31.99497,101.8948
17378.008,32.34418,101.184
18197.009,32.76032,100.3178
19139.343,33.19609,99.40448
20081.676,33.65859,98.90823
21024.01,34.06274,98.14259
21966.343,34.47139,97.55788
22908.677,34.81102,96.95933
23988.329,35.2061,96.15565
25260.737,35.69214,95.42121
26533.145,36.14726,94.6757
27805.553,36.55533,94.19911
29077.961,36.96906,93.48497
30350.369,37.31628,93.04082
31622.777,37.66367,92.36244
33113.112,38.04924,91.93793
34827.877,38.51702,91.24931
36542.642,38.92303,90.52397
38257.408,39.31647,89.97301
39972.173,39.71613,89.41487
41686.938,40.07089,88.82519
43651.583,40.45704,88.29603
45912.084,40.9106,87.77406
48172.585,41.30342,87.02833
50433.085,41.7004,86.26047
52693.586,42.09853,85.5562
54954.087,42.46417,85.16567
57543.994,42.84237,84.70367
60523.914,43.28252,83.82037
63503.835,43.67699,83.28008
66483.755,44.0715,82.57555
69463.676,44.42612,81.83498
72443.596,44.80793,81.19235
75857.758,45.18711,80.6003
79881.465,45.62397,79.59235
83905.172,46.04428,78.90778
87928.879,46.41718,78.15735
91952.586,46.80552,77.3295
95976.293,47.1436,76.51166
100000,47.47736,75.90131
104712.855,47.86699,74.87994
110135.419,48.25554,74.10896
115557.983,48.6427,72.97477
120980.546,49.01448,72.13914
126403.11,49.37144,71.21441
131825.674,49.71393,70.31052
138038.426,50.05441,69.21454
145186.757,50.46711,68.10432
152335.089,50.82705,66.96283
159483.42,51.18658,65.8787
166631.752,51.53638,64.78219
173780.083,51.82529,63.44728
181970.086,52.17471,62.27277
191393.422,52.54546,60.8708
200816.758,52.9127,59.26828
210240.093,53.21319,57.90654
219663.429,53.48911,55.9513
229086.765,53.71274,54.93156
239883.292,54.00907,53.33405
252607.371,54.28411,51.47123
265331.45,54.54238,49.89489
278055.529,54.76223,48.41294
290779.608,54.95994,47.06667
303503.687,55.18438,45.71
316227.766,55.36119,44.43866
331131.121,55.58222,43.03876
348278.773,55.80648,41.29688
365426.426,56.0181,39.82559
382574.078,56.20252,38.35167
399721.731,56.383,36.93586
416869.383,56.54955,35.49198
436515.832,56.70863,34.02218
459120.84,56.87299,32.46457
481725.849,57.04089,30.63492
504330.857,57.16675,29.27618
526935.866,57.30358,27.83663
549540.874,57.42421,26.29346
575439.937,57.5377,24.72869
605239.142,57.649,23.12489
635038.346,57.75775,21.39462
664837.551,57.83178,19.73151
694636.755,57.92454,18.38508
724435.96,58.0036,17.11797
758577.575,58.06703,15.52218
798814.646,58.1283,13.78706
839051.717,58.17916,12.21698
879288.788,58.21605,10.66599
919525.858,58.26472,9.138283
959762.929,58.27428,7.824259
1000000,58.29887,6.402341
1047128.548,58.30364,5.026615
1101354.186,58.3251,3.191133
1155579.824,58.30831,1.690006
1209805.463,58.29118,0.2178814
1264031.101,58.25337,-1.242746
1318256.739,58.20873,-2.575366
1380384.265,58.14775,-4.064926
1451867.578,58.0711,-5.555272
1523350.891,58.01051,-7.232888
1594834.203,57.93604,-8.782067
1666317.516,57.83506,-10.29105
1737800.829,57.78107,-11.88114
1819700.859,57.70651,-13.6609
1913934.218,57.56467,-15.89024
2008167.577,57.37915,-18.19476
2102400.935,57.07097,-20.3686
2196634.294,56.66578,-21.74523
2290867.653,56.31783,-21.72966
2398832.919,56.10475,-21.5845
2526073.709,55.91006,-21.68797
2653314.499,55.70176,-21.81894
2780555.289,55.63464,-22.2509
2907796.08,55.50703,-22.8652
3035036.87,55.37196,-23.64482
3162277.66,55.2177,-24.44137
3311311.215,55.026,-25.29422
3482787.739,54.81618,-26.13548
3654264.263,54.564,-26.88093
3825740.787,54.32297,-27.48376
3997217.311,54.06627,-28.19653
4168693.835,53.82363,-28.57392
4365158.322,53.55579,-28.93791
4591208.405,53.2411,-29.17294
4817258.489,52.92938,-29.30388
