25000000
5000000
2500000
500000
250000
50000
25000
10000
a35000000
30000000
3500000
3000000
350000
300000
35000
60000
a10
10
10
10
10
5
5
5
a3000
3000
1000
300
300
30
30
30
a

Mar. 26 2024
'15:10:08
HF loop TM7
801 Pts
 
 
inside mumetal shield
*
*
*
*
Hz	V /sqrt(Hz)
25000000	6.846523E-07
25043750	2.049441E-07
25087500	2.173601E-07
25131250	2.491853E-07
25175000	1.792249E-06
25218750	2.062081E-07
25262500	2.147328E-07
25306250	2.249754E-07
25350000	2.120277E-07
25393750	1.738511E-07
25437500	1.32273E-07
25481250	1.983229E-07
25525000	1.982639E-07
25568750	1.86902E-07
25612500	2.117465E-07
25656250	1.664699E-07
25700000	5.641845E-07
25743750	1.903349E-07
25787500	2.463372E-07
25831250	1.377732E-07
25875000	1.814334E-07
25918750	1.643729E-07
25962500	2.350913E-07
26006250	2.240082E-07
26050000	1.845646E-07
26093750	1.842266E-07
26137500	1.988697E-07
26181250	1.852698E-07
26225000	1.8539E-07
26268750	2.246594E-07
26312500	2.604935E-07
26356250	1.539229E-07
26400000	1.757487E-07
26443750	1.411173E-07
26487500	1.921378E-07
26531250	1.82528E-07
26575000	1.907796E-07
26618750	1.6902E-07
26662500	2.129226E-07
26706250	1.762633E-07
26750000	1.495487E-07
26793750	2.352722E-07
26837500	1.864082E-07
26881250	1.752135E-07
26925000	1.991494E-07
26968750	1.860022E-07
27012500	2.294398E-07
27056250	1.909576E-07
27100000	1.728663E-07
27143750	2.097047E-07
27187500	1.437043E-07
27231250	1.938497E-07
27275000	1.496891E-07
27318750	1.776928E-07
27362500	1.364955E-07
27406250	1.707764E-07
27450000	2.212064E-07
27493750	1.527775E-07
27537500	1.978937E-07
27581250	2.332405E-07
27625000	2.00097E-07
27668750	1.727662E-07
27712500	1.631973E-07
27756250	2.106033E-07
27800000	1.644946E-07
27843750	2.198254E-07
27887500	1.416268E-07
27931250	1.897122E-07
27975000	1.530996E-07
28018750	2.098731E-07
28062500	1.977948E-07
28106250	1.67682E-07
28150000	1.83883E-07
28193750	1.549833E-07
28237500	1.784502E-07
28281250	1.210238E-07
28325000	1.713581E-07
28368750	1.663389E-07
28412500	1.653842E-07
28456250	1.816909E-07
28500000	1.731835E-07
28543750	1.384753E-07
28587500	1.549705E-07
28631250	1.642368E-07
28675000	2.003657E-07
28718750	1.805729E-07
28762500	1.413428E-07
28806250	1.834433E-07
28850000	1.506235E-07
28893750	1.274222E-07
28937500	1.687226E-07
28981250	1.734264E-07
29025000	2.115799E-07
29068750	1.391216E-07
29112500	1.406089E-07
29156250	1.607972E-07
29200000	1.95728E-07
29243750	1.278682E-07
29287500	1.5199E-07
29331250	1.532286E-07
29375000	1.855733E-07
29418750	1.451592E-07
29462500	1.697823E-07
29506250	4.000846E-07
29550000	1.407587E-07
29593750	1.601078E-07
29637500	1.478882E-07
29681250	1.47479E-07
29725000	1.500746E-07
29768750	1.760792E-07
29812500	1.710748E-07
29856250	1.58179E-07
29900000	1.277719E-07
29943750	1.525065E-07
29987500	1.513452E-07
30031250	1.417596E-07
30075000	1.074867E-07
30118750	1.494643E-07
30162500	1.501511E-07
30206250	1.495229E-07
30250000	1.556443E-07
30293750	1.331446E-07
30337500	1.64075E-07
30381250	1.596645E-07
30425000	1.169785E-07
30468750	1.998292E-07
30512500	1.58357E-07
30556250	1.84093E-07
30600000	1.876167E-07
30643750	1.660312E-07
30687500	1.359258E-07
30731250	1.477475E-07
