25000000
5000000
2500000
500000
250000
50000
25000
10000
a35000000
30000000
3500000
3000000
350000
300000
35000
60000
a10
10
10
10
10
5
5
5
a3000
3000
1000
300
300
30
30
30
a

Mar. 26 2024
'15:32:10
HF loop TM8
801 Pts
 
 
inside mumetal shield
*
*
external supply
*
Hz	V /sqrt(Hz)
25000000	1.790345E-07
25043750	1.493617E-07
25087500	2.334244E-07
25131250	1.67716E-07
25175000	2.612838E-07
25218750	2.34606E-07
25262500	1.386592E-07
25306250	1.787168E-07
25350000	1.527351E-07
25393750	1.769007E-07
25437500	1.149865E-07
25481250	1.962044E-07
25525000	1.780432E-07
25568750	1.713948E-07
25612500	1.624702E-07
25656250	1.852145E-07
25700000	1.860762E-07
25743750	1.716743E-07
25787500	1.711388E-07
25831250	1.746562E-07
25875000	1.904316E-07
25918750	1.813793E-07
25962500	1.176578E-07
26006250	1.302469E-07
26050000	1.684913E-07
26093750	1.68203E-07
26137500	1.883532E-07
26181250	1.520378E-07
26225000	1.646336E-07
26268750	1.899699E-07
26312500	1.921312E-07
26356250	2.209742E-07
26400000	2.006878E-07
26443750	1.70414E-07
26487500	1.796171E-07
26531250	2.041953E-07
26575000	1.249037E-07
26618750	1.536793E-07
26662500	1.854097E-07
26706250	1.856097E-07
26750000	2.029072E-07
26793750	1.446971E-07
26837500	1.799896E-07
26881250	2.058193E-07
26925000	1.754227E-07
26968750	1.759496E-07
27012500	2.242578E-07
27056250	1.59313E-07
27100000	1.456024E-07
27143750	1.399229E-07
27187500	1.455048E-07
27231250	1.795867E-07
27275000	1.399142E-07
27318750	1.602733E-07
27362500	2.017156E-07
27406250	1.761481E-07
27450000	1.50879E-07
27493750	1.827474E-07
27537500	1.386446E-07
27581250	1.958107E-07
27625000	2.057703E-07
27668750	1.517316E-07
27712500	1.246675E-07
27756250	1.773824E-07
27800000	1.698989E-07
27843750	1.998493E-07
27887500	1.84102E-07
27931250	2.012122E-07
27975000	1.980712E-07
28018750	2.094978E-07
28062500	1.304078E-07
28106250	1.541797E-07
28150000	1.546675E-07
28193750	1.910781E-07
28237500	1.891672E-07
28281250	1.894535E-07
28325000	1.090949E-07
28368750	1.785876E-07
28412500	1.502456E-07
28456250	1.784619E-07
28500000	1.81499E-07
28543750	1.04249E-07
28587500	1.547946E-07
28631250	1.743576E-07
28675000	1.518757E-07
28718750	1.664122E-07
28762500	1.760852E-07
28806250	1.538259E-07
28850000	2.007256E-07
28893750	1.336286E-07
28937500	1.490153E-07
28981250	1.801797E-07
29025000	1.488643E-07
29068750	1.577117E-07
29112500	1.823657E-07
29156250	1.483484E-07
29200000	1.575573E-07
29243750	1.501684E-07
29287500	1.971156E-07
29331250	1.578049E-07
29375000	1.834516E-07
29418750	1.124264E-07
29462500	1.241435E-07
29506250	1.76438E-06
29550000	1.606225E-07
29593750	1.497727E-07
29637500	1.75434E-07
29681250	1.787062E-07
29725000	1.497223E-07
29768750	1.629344E-07
29812500	1.595838E-07
29856250	1.563622E-07
29900000	1.363459E-07
29943750	1.593847E-07
29987500	1.410326E-07
30031250	1.56048E-07
30075000	1.03696E-07
30118750	1.661534E-07
30162500	1.68963E-07
30206250	1.261371E-07
30250000	1.189472E-07
30293750	1.242766E-07
30337500	1.900812E-07
30381250	1.274926E-07
30425000	1.665405E-07
30468750	2.151131E-07
30512500	1.501587E-07
30556250	1.342293E-07
30600000	1.655094E-07
30643750	2.128286E-07
30687500	2.083019E-07
30731250	1.851555E-07
30775000	1.788951E-07
30818750	1.352798E-07
30862500	1.822841E-07
30906250	1.635183E-07
30950000	1.892362E-07
30993750	1.76834E-07
31037500	1.612825E-07
31081250	1.62519E-07
31125000	1.811989E-07
31168750	1.216273E-07
31212500	1.080296E-07
31256250	1.660552E-07
31300000	1.14362E-07
31343750	1.334953E-07
31387500	1.251675E-07
31431250	1.728532E-07
31475000	1.399149E-07
31518750	1.471854E-07
31562500	1.557596E-07
31606250	1.097568E-07
31650000	1.423004E-07
31693750	1.55409E-07
31737500	1.44821E-07
31781250	1.23811E-07
31825000	1.077752E-07
31868750	1.418675E-07
31912500	1.619906E-07
31956250	1.454717E-07
32000000	1.686133E-07
32043750	1.557969E-07
32087500	1.229146E-07
32131250	1.750392E-07
32175000	1.431185E-07
32218750	1.395874E-07
32262500	1.716767E-07
32306250	1.275435E-07
32350000	1.934778E-07
32393750	1.460043E-07
32437500	1.586848E-07
32481250	1.849881E-07
32525000	1.543944E-07
32568750	1.463991E-07
32612500	1.37246E-07
32656250	1.683683E-07
32700000	1.574622E-07
32743750	2.248933E-07
32787500	1.635323E-07
32831250	1.535676E-07
32875000	1.868216E-07
32918750	1.518445E-07
32962500	1.66415E-07
33006250	1.425682E-07
33050000	1.828922E-07
33093750	1.330399E-07
33137500	1.576309E-07
33181250	1.579408E-07
33225000	1.473052E-07
33268750	1.612536E-07
33312500	2.056682E-07
33356250	2.124686E-07
33400000	1.588877E-07
33443750	1.778752E-07
33487500	1.393683E-07
33531250	1.465674E-07
33575000	1.512906E-07
