25000000
5000000
2500000
500000
250000
50000
25000
10000
a35000000
30000000
3500000
3000000
350000
300000
35000
60000
a10
10
10
10
10
5
5
5
a3000
3000
1000
300
300
30
30
30
a

Mar. 26 2024
'14:47:40
HF loop TM7
801 Pts
 
 
inside mumetal shield floating
*
*
*
Clean room OFF
Hz	V /sqrt(Hz)
25000000	4.330959E-07
25043750	1.427385E-07
25087500	1.858428E-07
25131250	1.414227E-07
25175000	1.095396E-06
25218750	2.367682E-07
25262500	1.777192E-07
25306250	1.48238E-07
25350000	1.788861E-07
25393750	1.844389E-07
25437500	1.65802E-07
25481250	1.838031E-07
25525000	1.838119E-07
25568750	1.614204E-07
25612500	1.935431E-07
25656250	1.667077E-07
25700000	5.732651E-07
25743750	2.04888E-07
25787500	1.871754E-07
25831250	1.844862E-07
25875000	2.130271E-07
25918750	1.235363E-07
25962500	1.538093E-07
26006250	2.07617E-07
26050000	1.417715E-07
26093750	1.711308E-07
26137500	1.979464E-07
26181250	1.799949E-07
26225000	1.963751E-07
26268750	1.963398E-07
26312500	2.111864E-07
26356250	1.963788E-07
26400000	1.954206E-07
26443750	1.59873E-07
26487500	1.423435E-07
26531250	1.781033E-07
26575000	2.160134E-07
26618750	1.638976E-07
26662500	1.834274E-07
26706250	1.415501E-07
26750000	2.193221E-07
26793750	1.872394E-07
26837500	1.142341E-07
26881250	1.38734E-07
26925000	1.533135E-07
26968750	1.433616E-07
27012500	1.978332E-07
27056250	1.801346E-07
27100000	1.522456E-07
27143750	2.193272E-07
27187500	1.523103E-07
27231250	1.551197E-07
27275000	1.792825E-07
27318750	1.33697E-07
27362500	1.633692E-07
27406250	1.767837E-07
27450000	1.88507E-07
27493750	1.873184E-07
27537500	1.76331E-07
27581250	1.660187E-07
27625000	1.798845E-07
27668750	1.807001E-07
27712500	1.864682E-07
27756250	2.063861E-07
27800000	1.438543E-07
27843750	2.086822E-07
27887500	1.963728E-07
27931250	1.903629E-07
27975000	1.849354E-07
28018750	1.92941E-07
28062500	1.829473E-07
28106250	1.343448E-07
28150000	1.349355E-07
28193750	1.191279E-07
28237500	1.525477E-07
28281250	1.745168E-07
28325000	1.908589E-07
28368750	2.372239E-07
28412500	2.047207E-07
28456250	1.934354E-07
28500000	1.872512E-07
28543750	1.591892E-07
28587500	1.522941E-07
28631250	1.016693E-07
28675000	1.362019E-07
28718750	2.06944E-07
28762500	1.571213E-07
28806250	2.228931E-07
28850000	1.810726E-07
28893750	1.930952E-07
28937500	1.545972E-07
28981250	1.255413E-07
29025000	2.05233E-07
29068750	1.505236E-07
29112500	1.348135E-07
29156250	1.589659E-07
29200000	1.836043E-07
29243750	1.599703E-07
29287500	1.075255E-07
29331250	1.811352E-07
29375000	1.580683E-07
29418750	1.508975E-07
29462500	1.756927E-07
29506250	1.79498E-07
29550000	1.718232E-07
29593750	1.472711E-07
29637500	1.743699E-07
29681250	1.383729E-07
29725000	1.868674E-07
29768750	1.451053E-07
29812500	1.339473E-07
29856250	1.439454E-07
29900000	1.349687E-07
29943750	1.333385E-07
29987500	1.023966E-07
30031250	1.521505E-07
30075000	1.139971E-07
30118750	1.17388E-07
30162500	1.464244E-07
30206250	1.43386E-07
30250000	1.444424E-07
30293750	1.567464E-07
30337500	1.994234E-07
30381250	1.810865E-07
30425000	1.480582E-07
30468750	1.423263E-07
30512500	1.430215E-07
30556250	1.377169E-07
30600000	1.682089E-07
30643750	1.58895E-07
30687500	1.045979E-07
30731250	1.580466E-07
30775000	1.610536E-07
30818750	1.772975E-07
30862500	1.509721E-07
30906250	1.453696E-07
30950000	1.24221E-07
30993750	1.688449E-07
31037500	1.765681E-07
31081250	1.703192E-07
31125000	1.545607E-07
31168750	1.556623E-07
31212500	1.381586E-07
31256250	1.105728E-07
31300000	1.541914E-07
31343750	1.349828E-07
31387500	1.570273E-07
31431250	1.429446E-07
31475000	1.312927E-07
31518750	1.146818E-07
31562500	1.472987E-07
31606250	1.306942E-07
31650000	1.517815E-07
31693750	1.743977E-07
31737500	1.858904E-07
31781250	1.596555E-07
31825000	1.597931E-07
31868750	1.392356E-07
31912500	1.500883E-07
31956250	1.204555E-07
32000000	1.546514E-07
32043750	1.257386E-07
32087500	1.418897E-07
32131250	1.599434E-07
32175000	1.58848E-07
32218750	1.633316E-07
32262500	1.311716E-07
32306250	1.663215E-07
32350000	9.892175E-08
32393750	1.562855E-07
32437500	1.354576E-07
32481250	1.500208E-07
32525000	1.42138E-07
32568750	1.276152E-07
32612500	1.631575E-07
32656250	1.360776E-07
32700000	1.415395E-07
32743750	1.429796E-07
32787500	1.572671E-07
32831250	1.327054E-07
32875000	1.41169E-07
32918750	1.507701E-07
32962500	1.863501E-07
33006250	1.482111E-07
33050000	1.694099E-07
33093750	1.29154E-07
33137500	1.225802E-07
33181250	1.418285E-07
33225000	1.031139E-07
33268750	1.202722E-07
33312500	1.652551E-07
33356250	1.47803E-07
33400000	1.193645E-07
33443750	1.413234E-07
33487500	1.039615E-07
33531250	1.045135E-07
33575000	1.421886E-07
33618750	1.240026E-07
33662500	1.199066E-07
33706250	1.283828E-07
33750000	1.329043E-07
33793750	1.23141E-07
33837500	1.524254E-07
33881250	1.230247E-07
