Mar. 26 2024	
 13:57:13	
HF loop TM8	
Power(dBm) -6.8	
201 Pts	
AttnR(dB) 20, AttnB(dB) 20	
*	
*	
LPC2E stimulus loop 216nT/V or 46.689dBnT/V	
*	
*	
Hz	dB	DEG
10000	-3.872301	-69.0402
10485.212	-3.405437	-70.10432
10970.425	-2.973398	-71.11103
11455.637	-2.55892	-72.04288
11940.849	-2.188468	-72.81631
12426.062	-1.817743	-73.79556
12911.274	-1.437322	-74.49689
13472.989	-1.066197	-75.17369
14126.715	-0.6230181	-76.12522
14780.441	-0.2234237	-76.95874
15434.167	0.1951654	-77.64523
16087.893	0.5609568	-78.40508
16741.619	0.9002048	-78.92158
17395.345	1.26125	-79.50794
18152.143	1.627135	-80.30095
19013.636	2.036588	-80.97227
19875.129	2.446397	-81.73455
20736.621	2.830745	-82.23289
21598.114	3.189	-82.8064
22459.607	3.539014	-83.40555
23436.729	3.897722	-83.94595
24573.908	4.332119	-84.57973
25711.087	4.735937	-85.13268
26848.266	5.100683	-85.73977
27985.445	5.484216	-86.21291
29122.624	5.799052	-86.73898
30259.803	6.162509	-87.26191
31576.279	6.527097	-87.76727
33108.399	6.93816	-88.40762
34640.519	7.331334	-88.91343
36172.639	7.705221	-89.52151
37704.759	8.083809	-90.10978
39236.879	8.411649	-90.4246
40768.999	8.756248	-90.95124
42542.685	9.116591	-91.43535
44561.742	9.51212	-92.12444
46580.8	9.890434	-92.60461
48599.857	10.25958	-93.15295
50618.915	10.59991	-93.65549
52637.972	10.94009	-94.23234
54928.027	11.30177	-94.75684
57593.203	11.70038	-95.41315
60258.378	12.08219	-96.02895
62923.554	12.45148	-96.60316
65588.73	12.79283	-97.21342
68253.905	13.13433	-97.75134
70919.081	13.45222	-98.31346
74004.47	13.80513	-98.90484
77595.258	14.19972	-99.61649
81186.046	14.57514	-100.3576
84776.835	14.9321	-101.1332
88367.623	15.26928	-101.7437
91958.411	15.60502	-102.4888
95549.199	15.90974	-103.0925
99706.139	16.26214	-103.8181
104438.149	16.61682	-104.6566
109170.159	16.97398	-105.5265
113902.17	17.31208	-106.339
118634.18	17.6313	-107.0364
123366.19	17.93263	-107.8974
128733.329	18.26041	-108.6822
134979.629	18.63276	-109.7028
141225.929	18.96849	-110.6531
147472.229	19.29504	-111.6765
153718.53	19.60384	-112.6072
159964.83	19.89396	-113.5833
166211.13	20.17554	-114.5152
173442.271	20.4732	-115.5919
181857.904	20.80366	-116.9352
190273.537	21.11787	-118.15
198689.17	21.38998	-119.4868
207104.804	21.64121	-120.7182
215520.437	21.8771	-122.0183
223936.07	22.02295	-123.3087
233678.578	22.26755	-124.0891
244768.862	22.50958	-125.3762
255859.146	22.73466	-126.4997
266949.429	22.93838	-127.635
278039.713	23.12992	-128.6803
289129.997	23.31578	-129.7246
301708.817	23.51422	-130.7098
316348.101	23.72108	-131.9434
330987.385	23.9153	-133.0643
345626.67	24.09407	-134.1697
360265.954	24.26085	-135.1897
374905.238	24.41189	-136.1687
389544.522	24.55788	-137.1296
406491.952	24.7097	-138.0847
426215.443	24.86979	-139.3351
445938.935	25.01903	-140.4225
465662.426	25.1511	-141.4003
485385.917	25.26895	-142.3593
505109.409	25.37957	-143.2118
524832.9	25.48426	-144.086
547666.154	25.59194	-144.9964
573658.152	25.70204	-146.0002
599650.149	25.7997	-146.8481
625642.147	25.89471	-147.7237
651634.144	25.97535	-148.459
677626.142	26.04858	-149.2045
707106.781	26.12326	-149.9266
741416.475	26.20647	-150.6933
775726.169	26.27527	-151.4066
810035.863	26.34497	-152.0785
844345.557	26.40222	-152.6256
878655.251	26.45576	-153.107
912964.945	26.51237	-153.5456
952684.177	26.56865	-154
998909.59	26.65069	-154.3672
1045135.002	26.75954	-154.8159
1091360.415	26.8781	-155.6783
1137585.827	26.88831	-156.6942
1183811.24	26.87976	-157.1589
1230036.652	26.87636	-157.5375
1283550.329	26.89374	-157.7608
1344467.07	26.9061	-158.052
1405383.811	26.9276	-158.3316
1466300.551	26.94799	-158.4924
1527217.292	26.96889	-158.6442
1588134.033	26.98791	-158.7161
1657227.009	27.01237	-158.8881
1737637.709	27.0426	-159.0001
1818048.41	27.07047	-159.151
1898459.11	27.09359	-159.2705
1978869.81	27.11697	-159.4126
2059280.511	27.12063	-159.6905
2139691.211	27.08865	-159.8632
2232780.1	27.01522	-159.835
2341117.347	26.9526	-159.2979
2449454.594	26.94009	-158.6932
2557791.841	26.95486	-158.1022
2666129.087	26.97306	-157.6049
2774466.334	26.99949	-157.146
2882803.581	27.01755	-156.6731
3008222.137	27.04657	-156.2068
3150991.052	27.06191	-155.7143
3293759.967	27.09055	-155.2321
3436528.883	27.09706	-154.6165
3579297.798	27.1024	-154.0598
3722066.713	27.11165	-153.5015
3883998.049	27.11534	-152.7501
4072454.429	27.12493	-151.9558
4260910.809	27.12768	-151.1114
4449367.19	27.13125	-150.1752
4637823.57	27.1339	-149.2517
4826279.95	27.13679	-148.2611
5014736.33	27.14249	-147.2372
5232906.238	27.14548	-146.0476
5486813.309	27.16297	-144.6311
5740720.38	27.17989	-143.1862
5994627.45	27.19866	-141.5442
6248534.521	27.21937	-139.5448
6502441.592	27.49373	-139.2453
6756348.663	27.41278	-138.0901
7050288.736	27.4157	-136.2789
7384892.375	27.45027	-134.396
7719496.014	27.50051	-132.5803
8054099.653	27.55751	-130.8329
8388703.292	27.60884	-128.9724
8723306.931	27.66632	-127.221
9102821.015	27.72093	-125.1238
9544501.128	27.78222	-122.4869
9986181.242	27.9007	-118.9773
10427861.355	28.76486	-119.1503
10869541.468	28.30486	-118.5996
11311221.582	28.26829	-115.9198
11752901.695	28.3393	-113.8688
12264220.598	28.41485	-111.5375
12859295.722	28.51265	-108.9398
13454370.846	28.61761	-106.4687
14049445.97	28.71464	-104.0172
14644521.094	28.80763	-101.7544
15239596.218	28.89141	-99.33675
15834671.342	29.0125	-96.55644
16523570.729	29.47203	-96.32765
17307772.214	29.25339	-94.31094
18091973.699	29.24186	-91.99528
18876175.183	29.22905	-89.99215
19660376.668	29.18491	-88.08245
20444578.153	29.09378	-86.55125
21334035.032	28.93425	-84.29292
22369188.749	28.68413	-82.07197
23404342.467	28.36259	-79.60356
24439496.184	27.98714	-76.81045
25474649.901	27.56658	-74.03022
26509803.619	27.07534	-70.80936
