awg,conductor diameter,conductor error,total diameter
24,.511,.005,.551
25,.455,.005,.493
26,.404,.005,.439
27,.361,.003,.396
28,.320,.003,.356
29,.287,.003,.320
30,.254,.003,.284
31,.226,.003,.254
32,.203,.003,.231
33,.180,.003,.206
34,.160,.003,.183
35,.142,.003,.163
36,.127,.003,.147
37,.114,.003,.135
38,.102,.003,.119
39,.089,.003,.104
40,.079,.003,.094
41,.071,.003,.086
42,.064,.003,.076
43,.056,.003,.066
44,.051,.003,.061
45,.0447,.003,.0559
46,.0399,.003,.0508
47,.0356,.003,.0432
48,.0315,.003,.0381
49,.0282,.003,.0330
50,.0251,.003,.0305
51,.0224,.003,.0279
52,.0198,.003,.0254
53,.0178,.003,.0216
54,.0157,.003,.0191
55,.0140,.003,.0178
56,.0124,.003,.0165
